,0
12000,11238
12001,10009
12002,10024
12003,11211
12004,11249
12005,10017
12006,10025
12007,11211
12008,11249
12009,11233
12010,10014
12011,11206
12012,11205
12013,11212
12014,11105
12015,11103
12016,10120
12017,11233
12018,11231
12019,10006
12020,10018
12021,10002
12022,11213
12023,11237
12024,11205
12025,10003
12026,11206
12027,10031
12028,10040
12029,10280
12030,10022
12031,10024
12032,11217
12033,10033
12034,11222
12035,11231
12036,10018
12037,10011
12038,11237
12039,10162
12040,10012
12041,10013
12042,10462
12043,10011
12044,10023
12045,10012
12046,11206
12047,11226
12048,11103
12049,10002
12050,11221
12051,10028
12052,10016
12053,10029
12054,11222
12055,10009
12056,11434
12057,11249
12058,10036
12059,11249
12060,10003
12061,11206
12062,11211
12063,11232
12064,11211
12065,11206
12066,10021
12067,10010
12068,10016
12069,11206
12070,11225
12071,11237
12072,10009
12073,11221
12074,10009
12075,10012
12076,10029
12077,10012
12078,11222
12079,10025
12080,10024
12081,11206
12082,10019
12083,10009
12084,11249
12085,10019
12086,11215
12087,10039
12088,11211
12089,10036
12090,10009
12091,10454
12092,10019
12093,11238
12094,11373
12095,10023
12096,10037
12097,10011
12098,11216
12099,10002
12100,10003
12101,11222
12102,10025
12103,10025
12104,10003
12105,11220
12106,10036
12107,10025
12108,10023
12109,11217
12110,11237
12111,10016
12112,11249
12113,10029
12114,11211
12115,11205
12116,10012
12117,11249
12118,11215
12119,10035
12120,10014
12121,10025
12122,10463
12123,10044
12124,10019
12125,11211
12126,11238
12127,11218
12128,11215
12129,11225
12130,10040
12131,10027
12132,10016
12133,11206
12134,10034
12135,11377
12136,10014
12137,11223
12138,10022
12139,10031
12140,10003
12141,11233
12142,11237
12143,10128
12144,10033
12145,11211
12146,11225
12147,11221
12148,11211
12149,10019
12150,11237
12151,11358
12152,10002
12153,10024
12154,11237
12155,11249
12156,11206
12157,10029
12158,10010
12159,10039
12160,11210
12161,11217
12162,11206
12163,10009
12164,10029
12165,10027
12166,11222
12167,10036
12168,11216
12169,10019
12170,10032
12171,11221
12172,11238
12173,10024
12174,10028
12175,10023
12176,10122
12177,10036
12178,10005
12179,10036
12180,10011
12181,11104
12182,11231
12183,11207
12184,10019
12185,11207
12186,10033
12187,11249
12188,10029
12189,11105
12190,11379
12191,11233
12192,10458
12193,11249
12194,10009
12195,10065
12196,10016
12197,11225
12198,10036
12199,11375
12200,10009
12201,10030
12202,11222
12203,11211
12204,10027
12205,11217
12206,10013
12207,10024
12208,11231
12209,10011
12210,10025
12211,11211
12212,10021
12213,11231
12214,10011
12215,10010
12216,10024
12217,11378
12218,11221
12219,10029
12220,11237
12221,10009
12222,10065
12223,10012
12224,10012
12225,11207
12226,11201
12227,11211
12228,11223
12229,10018
12230,11216
12231,11211
12232,10128
12233,10038
12234,10009
12235,10014
12236,11377
12237,11216
12238,10024
12239,10040
12240,10023
12241,10031
12242,10009
12243,10002
12244,11238
12245,10014
12246,11104
12247,10002
12248,11205
12249,10027
12250,10002
12251,10009
12252,10019
12253,11249
12254,10027
12255,10029
