,0
24000,11101
24001,11213
24002,11205
24003,11222
24004,11221
24005,10026
24006,10009
24007,11230
24008,10470
24009,11357
24010,10002
24011,11432
24012,11201
24013,11231
24014,11432
24015,11432
24016,10031
24017,10012
24018,11225
24019,10009
24020,11213
24021,10014
24022,10011
24023,11355
24024,10128
24025,11377
24026,11211
24027,11207
24028,10011
24029,11211
24030,11203
24031,11238
24032,11218
24033,10003
24034,10031
24035,10012
24036,10032
24037,10025
24038,11221
24039,10007
24040,10021
24041,11211
24042,10014
24043,11103
24044,11238
24045,11216
24046,10001
24047,11101
24048,11225
24049,11355
24050,10044
24051,11233
24052,11206
24053,11106
24054,10026
24055,11377
24056,11237
24057,10032
24058,11231
24059,10002
24060,10029
24061,11377
24062,11225
24063,10040
24064,10025
24065,11213
24066,10014
24067,11206
24068,11231
24069,10018
24070,10037
24071,10013
24072,10035
24073,11207
24074,11222
24075,10025
24076,11233
24077,11211
24078,11213
24079,10022
24080,10001
24081,10016
24082,10016
24083,11206
24084,10075
24085,10035
24086,11211
24087,11231
24088,11221
24089,10002
24090,10014
24091,11249
24092,11207
24093,10027
24094,11206
24095,10011
24096,11385
24097,11211
24098,10014
24099,10028
24100,10019
24101,11201
24102,10011
24103,10036
24104,10003
24105,10016
24106,11237
24107,11367
24108,11232
24109,11207
24110,10044
24111,11233
24112,11377
24113,11213
24114,10036
24115,10034
24116,10467
24117,11238
24118,11103
24119,11369
24120,11101
24121,11206
24122,11215
24123,10026
24124,11206
24125,11221
24126,10005
24127,10013
24128,11373
24129,11216
24130,11419
24131,10011
24132,11377
24133,10128
24134,10025
24135,10030
24136,11210
24137,11206
24138,10036
24139,11211
24140,10033
24141,11205
24142,10011
24143,10029
24144,11211
24145,10021
24146,10001
24147,11213
24148,11215
24149,10011
24150,11215
24151,10023
24152,11435
24153,11201
24154,11436
24155,11238
24156,10003
24157,10016
24158,11375
24159,11375
24160,10461
24161,11103
24162,11206
24163,11221
24164,11211
24165,11211
24166,10023
24167,11216
24168,11206
24169,11375
24170,10003
24171,11238
24172,11205
24173,10128
24174,10009
24175,11103
24176,10039
24177,10034
24178,10002
24179,10032
24180,11103
24181,11208
24182,11209
24183,10031
24184,11238
24185,11215
24186,10031
24187,11221
24188,11378
24189,10009
24190,10034
24191,11249
24192,10025
24193,10030
24194,11206
24195,10012
24196,11222
24197,10069
24198,10025
24199,10003
24200,10032
24201,10024
24202,10030
24203,10019
24204,10019
24205,10035
24206,11374
24207,11206
24208,10012
24209,11217
24210,11216
24211,10029
24212,10009
24213,11233
24214,11374
24215,11221
24216,11209
24217,11216
24218,10016
24219,11375
24220,10016
24221,11217
24222,11225
24223,11221
24224,10308
24225,10069
24226,11226
24227,11221
24228,11210
24229,11229
24230,11237
24231,11238
24232,10456
24233,10016
24234,11226
24235,10009
24236,11221
24237,11105
24238,10456
24239,11237
24240,11355
24241,11206
24242,11222
24243,11236
24244,10035
24245,11216
24246,11218
24247,10023
24248,11233
24249,10021
24250,10035
24251,11216
24252,10021
24253,11216
24254,10044
24255,11233
24256,11230
24257,11230
24258,11377
24259,11206
24260,10002
24261,10001
24262,10002
24263,10002
24264,11238
24265,10128
24266,11213
24267,11417
24268,10025
24269,11106
24270,11693
24271,11226
24272,10011
24273,10037
24274,10014
24275,10018
24276,11206
24277,10026
24278,10012
24279,11374
24280,11215
24281,11211
24282,10003
24283,11217
24284,11207
24285,10013
24286,10025
24287,10002
24288,10019
24289,11377
24290,10035
24291,10016
24292,10120
24293,11221
24294,11355
24295,11225
24296,11222
24297,11215
24298,10009
24299,10031
24300,10021
24301,11211
24302,11221
24303,11211
24304,10036
24305,10012
24306,11238
24307,11211
24308,11216
24309,10014
24310,10001
24311,11201
24312,11216
24313,11207
24314,10024
24315,11102
24316,11233
24317,10021
24318,10016
24319,11207
24320,11385
24321,11237
24322,11215
24323,11233
24324,10014
24325,11355
24326,10458
24327,11102
24328,11249
24329,10013
24330,11355
24331,11355
24332,11358
24333,11369
24334,11251
24335,10014
24336,10467
24337,10128
24338,11372
24339,11233
24340,10009
24341,10029
24342,11206
24343,11201
24344,10029
24345,11221
24346,10037
24347,10014
24348,10029
24349,11233
24350,11434
24351,10025
24352,10002
24353,11238
24354,11249
24355,11222
24356,11233
24357,11206
24358,10128
24359,10011
24360,11211
24361,11237
24362,10128
24363,11377
24364,10002
24365,10011
24366,11207
24367,11226
24368,11238
24369,11217
24370,11249
24371,11106
24372,10030
24373,10001
24374,10024
24375,11220
24376,11213
24377,11433
24378,10128
24379,11207
24380,11354
24381,11222
24382,10019
24383,10018
24384,10028
24385,10030
24386,11216
24387,11249
24388,11222
24389,10011
24390,10304
24391,11104
24392,10024
24393,10033
24394,11215
24395,10033
24396,11207
24397,11375
24398,10016
24399,10036
24400,11101
24401,11215
24402,10036
24403,11207
24404,11213
24405,10038
24406,10011
24407,11232
24408,11233
24409,10031
24410,10037
24411,10468
24412,11216
24413,11211
24414,10454
24415,11375
24416,10029
24417,11692
24418,11215
24419,10462
24420,11213
24421,11365
24422,10029
24423,11206
24424,11233
24425,11233
24426,11233
24427,10028
24428,11233
24429,11233
24430,11211
24431,11432
24432,11206
24433,10033
24434,11231
24435,11693
24436,10028
24437,11206
24438,11226
24439,11216
24440,11206
24441,10010
24442,11428
24443,10019
24444,11233
24445,11233
24446,11221
24447,11211
24448,11221
24449,10019
24450,10002
24451,11203
24452,10013
24453,10470
24454,11206
24455,11216
24456,11221
24457,11233
24458,10002
24459,10304
24460,10027
24461,10027
24462,10016
24463,10003
24464,10016
24465,11233
24466,11233
24467,10009
24468,11221
24469,11217
24470,11211
24471,11206
24472,11238
24473,11222
24474,11237
24475,11206
24476,11225
24477,10463
24478,11231
24479,10002
24480,10002
