,0
40000,10023
40001,11213
40002,10027
40003,10002
40004,10018
40005,11372
40006,11412
40007,10028
40008,10031
40009,11249
40010,11205
40011,11101
40012,11428
40013,11106
40014,10009
40015,10011
40016,11216
40017,10013
40018,10003
40019,10012
40020,10018
40021,10031
40022,10034
40023,11221
40024,10021
40025,11434
40026,11233
40027,11691
40028,11229
40029,10013
40030,10036
40031,10023
40032,10021
40033,11205
40034,10459
40035,11416
40036,11434
40037,10016
40038,11237
40039,11220
40040,11216
40041,11216
40042,11422
40043,11211
40044,10001
40045,10029
40046,11368
40047,10036
40048,11106
40049,11368
40050,11221
40051,10010
40052,11377
40053,11101
40054,10009
40055,11233
40056,11216
40057,11233
40058,11238
40059,11226
40060,11230
40061,10031
40062,10305
40063,10014
40064,11369
40065,11221
40066,10032
40067,11211
40068,11105
40069,10013
40070,10305
40071,11435
40072,11226
40073,11205
40074,11221
40075,11211
40076,11226
40077,11207
40078,11221
40079,11102
40080,10009
40081,10003
40082,11222
40083,11237
40084,11101
40085,10009
40086,11227
40087,11226
40088,10025
40089,11222
40090,11218
40091,11203
40092,10026
40093,10002
40094,11216
40095,10010
40096,11416
40097,10036
40098,11221
40099,10011
40100,10003
40101,11206
40102,11217
40103,10019
40104,11434
40105,11221
40106,10019
40107,11208
40108,10016
40109,11221
40110,10459
40111,11218
40112,10027
40113,11367
40114,11205
40115,11221
40116,10016
40117,10009
40118,11249
40119,10002
40120,11231
40121,11411
40122,11429
40123,10036
40124,11230
40125,11213
40126,11375
40127,11212
40128,11221
40129,10032
40130,10006
40131,10018
40132,10002
40133,11214
40134,10022
40135,10451
40136,11203
40137,11212
40138,10028
40139,10002
40140,10002
40141,10002
40142,10002
40143,11105
40144,11218
40145,11422
40146,10021
40147,11231
40148,10045
40149,11385
40150,10026
40151,11235
40152,10013
40153,11211
40154,10025
40155,10009
40156,10039
40157,11233
40158,10011
40159,10027
40160,10017
40161,11238
40162,11226
40163,11377
40164,11206
40165,11237
40166,11211
40167,11374
40168,11221
40169,11233
40170,10199
40171,11226
40172,11226
40173,10002
40174,11226
40175,10454
40176,11102
40177,11215
40178,10464
40179,11207
40180,10021
40181,11233
40182,11211
40183,10019
40184,11233
40185,10065
40186,11377
40187,11374
40188,11374
40189,11216
40190,10027
40191,11373
40192,10009
40193,10021
40194,11412
40195,11232
40196,11412
40197,10032
40198,11421
40199,11374
40200,11216
40201,10031
40202,10003
40203,11210
40204,11373
40205,10001
40206,10021
40207,11373
40208,11215
40209,11218
40210,10019
40211,11249
40212,11221
40213,11225
40214,10031
40215,10301
40216,11216
40217,11207
40218,11207
40219,10009
40220,11249
40221,10009
40222,11226
40223,10451
40224,11420
40225,11226
40226,11225
40227,11207
40228,11213
40229,11221
40230,11237
40231,10452
40232,10044
40233,11220
40234,11377
40235,11237
40236,11233
40237,11206
40238,11225
40239,11101
40240,10303
40241,11206
40242,11106
40243,11221
40244,11101
40245,10456
40246,11422
40247,10019
40248,10016
40249,10011
40250,10029
40251,10306
40252,11216
40253,10031
40254,10036
40255,11421
40256,11238
40257,11385
40258,10030
40259,11222
40260,10035
40261,11226
40262,11238
40263,11216
40264,10009
40265,11213
40266,10037
40267,11211
40268,10475
40269,11416
40270,10030
40271,10002
40272,11434
40273,11434
40274,10038
40275,11221
40276,10024
40277,10029
40278,11421
40279,11226
40280,10014
40281,11216
40282,11210
40283,11211
40284,10469
40285,10031
40286,11412
40287,10021
40288,11212
40289,11221
40290,11206
40291,11205
40292,11103
40293,11103
40294,10009
40295,11223
40296,11206
40297,11434
40298,11102
40299,10301
40300,10036
40301,11230
40302,10025
40303,11249
40304,11221
40305,11211
40306,11215
40307,10009
40308,11249
40309,11106
40310,11385
40311,11211
40312,10002
40313,10001
40314,11101
40315,10451
40316,11434
40317,10023
40318,11373
40319,11233
40320,11203
40321,11435
40322,11377
40323,10025
40324,11365
40325,10036
40326,11207
40327,11206
40328,11226
40329,10024
40330,11211
40331,10029
40332,10022
40333,10040
40334,10009
40335,10002
40336,11222
40337,11233
40338,11249
40339,10003
40340,11222
40341,10128
40342,11429
40343,10040
40344,11356
40345,11222
40346,10029
40347,10031
40348,10029
40349,11211
40350,11377
40351,10017
40352,10018
40353,10002
40354,10009
40355,11221
40356,10018
40357,10032
40358,11233
40359,10128
40360,11237
40361,11206
40362,10459
40363,10036
40364,10026
40365,11103
40366,10011
40367,11233
40368,10016
40369,10065
40370,10075
40371,10007
40372,11221
40373,11221
40374,10011
40375,10018
40376,11221
40377,11206
40378,10019
40379,11231
40380,10014
40381,11211
40382,11207
40383,11413
40384,10027
40385,11106
40386,11223
40387,10003
40388,11211
40389,10025
40390,10457
40391,11238
40392,11215
40393,10003
40394,10022
40395,10025
40396,10002
40397,11211
40398,10019
40399,10019
40400,10025
40401,11206
40402,10451
40403,10019
40404,11211
40405,11373
40406,10452
40407,10028
40408,10128
40409,11358
40410,10036
40411,10026
40412,10013
40413,11205
40414,10029
40415,10018
40416,11221
40417,10035
40418,11233
40419,11214
40420,10027
40421,10029
40422,10199
40423,11429
40424,11434
40425,11226
40426,11237
40427,10029
40428,10029
40429,11355
40430,10009
40431,11222
40432,11222
40433,10002
40434,11101
40435,10034
40436,10018
40437,10018
40438,11221
40439,11373
40440,11206
40441,11373
40442,11205
40443,10003
40444,10012
40445,10016
40446,11225
40447,11222
40448,10032
40449,11237
40450,11373
40451,11203
40452,10035
40453,11211
40454,11222
40455,11102
40456,11238
40457,11221
40458,11218
40459,10018
40460,10009
40461,11209
40462,11221
40463,11215
40464,11235
40465,10029
40466,10013
40467,10301
40468,11222
40469,11208
40470,11236
40471,11208
40472,11208
40473,10036
40474,10013
40475,11206
40476,10038
40477,11238
40478,11211
40479,11103
40480,11207
40481,11101
40482,11412
40483,11385
40484,10011
40485,11205
40486,11237
40487,11105
40488,10030
40489,10457
40490,11206
40491,10035
40492,11207
40493,10012
40494,10028
40495,10016
40496,10027
40497,10014
40498,11217
40499,10011
40500,11211
40501,10029
40502,10457
40503,10038
40504,10002
40505,10002
40506,10128
40507,10031
40508,11373
40509,11377
40510,11368
40511,10038
40512,11237
40513,10003
40514,10031
40515,11101
40516,10017
40517,11222
40518,11206
40519,10031
40520,11238
40521,10030
40522,10129
40523,10039
40524,10003
40525,11221
40526,11220
40527,10029
40528,11206
40529,10027
40530,10029
40531,10301
40532,10065
40533,11211
40534,10019
40535,10014
40536,10033
40537,10453
40538,11213
40539,10027
40540,10029
40541,10038
40542,10030
40543,10028
40544,10028
40545,10009
40546,10034
40547,11218
40548,11222
40549,10033
40550,11238
40551,11249
40552,10128
40553,10002
40554,10027
40555,11237
40556,11206
40557,10019
40558,10009
40559,11211
40560,11106
40561,10027
40562,11377
40563,11203
40564,11106
40565,10107
40566,10019
40567,11233
40568,11212
40569,11226
40570,11203
40571,10016
40572,11215
40573,11206
40574,11421
40575,11226
40576,10004
40577,10027
40578,10032
40579,11237
40580,10027
40581,11207
40582,10019
40583,11221
40584,10019
40585,10065
40586,10009
40587,10035
40588,10019
40589,11221
40590,11369
40591,11207
40592,11206
40593,11206
40594,11237
40595,11220
40596,11220
40597,10024
40598,11249
40599,10030
40600,11694
40601,11418
40602,11221
40603,11221
40604,11206
40605,10001
40606,11222
40607,11222
40608,11373
40609,10002
40610,11225
40611,10019
40612,11235
40613,11206
40614,11238
40615,10128
40616,10002
40617,10128
40618,11370
40619,10128
40620,10455
40621,10014
40622,10128
40623,10030
40624,10021
40625,11429
40626,10030
40627,10003
40628,11233
40629,11201
40630,11205
40631,10032
40632,11216
40633,10012
40634,11207
40635,10035
40636,10461
40637,11235
40638,10014
40639,11205
40640,11377
40641,11225
40642,10031
40643,11416
40644,10031
40645,10009
40646,10009
40647,11225
40648,10019
40649,10032
40650,10024
40651,10027
40652,11364
40653,10017
40654,11216
40655,11215
40656,10069
40657,11211
40658,11422
40659,10002
40660,10025
40661,11238
40662,11205
40663,11221
40664,10033
40665,10027
40666,10454
40667,10011
40668,10028
40669,11211
40670,11363
40671,11221
40672,10026
40673,11373
40674,11385
40675,11694
40676,11216
40677,11203
40678,10032
40679,10301
40680,11211
40681,10029
40682,10036
40683,11203
40684,11214
40685,10014
40686,11106
40687,11216
40688,11222
40689,11211
40690,11237
40691,11221
40692,11206
40693,10035
40694,10470
40695,11102
40696,11412
40697,11233
40698,11237
40699,10040
40700,10026
40701,10012
40702,11206
40703,10014
40704,10035
40705,11221
40706,11226
40707,10001
40708,11225
40709,11216
40710,10012
40711,10013
40712,10002
40713,10462
40714,10451
40715,10018
40716,11221
40717,10018
40718,10024
40719,10199
40720,10024
40721,11375
40722,10458
40723,11106
40724,11206
40725,11355
40726,11233
40727,11249
40728,11435
40729,11215
40730,11691
40731,11216
40732,10012
40733,11203
40734,10017
40735,11102
40736,11214
40737,11211
40738,11418
40739,10030
40740,10011
40741,10027
40742,11221
40743,11221
40744,11221
40745,11221
40746,10065
40747,11222
40748,11233
40749,10069
40750,11377
40751,10021
40752,10027
40753,10004
40754,11434
40755,11211
40756,10002
40757,10014
40758,10031
40759,10018
40760,10473
40761,10002
40762,10017
40763,11225
40764,10012
40765,10017
40766,10028
40767,11210
40768,10011
40769,10016
40770,11221
40771,11211
40772,11222
40773,10120
40774,11233
40775,11211
40776,11249
40777,11206
40778,10025
40779,11102
40780,11222
40781,10475
40782,10003
40783,11233
40784,10005
40785,10457
40786,10024
40787,11103
40788,10017
40789,11237
40790,11215
40791,11104
40792,11213
40793,11205
40794,10002
40795,11206
40796,10019
40797,10023
40798,11211
40799,10010
40800,11104
40801,11233
40802,10002
40803,11101
40804,11218
40805,11216
40806,11221
40807,10022
40808,11223
40809,10032
40810,11231
40811,11105
40812,10035
40813,11103
40814,11208
40815,11355
40816,10027
40817,10040
40818,11385
40819,10014
40820,11215
40821,11102
40822,11232
40823,11236
40824,11221
40825,11357
40826,10014
40827,11385
40828,11101
40829,10012
40830,11369
40831,10120
40832,10033
40833,11106
40834,11207
40835,10305
40836,10025
40837,11236
40838,10031
40839,10007
40840,11372
40841,10027
40842,10036
40843,10025
40844,11429
40845,11211
40846,11222
40847,10032
40848,11211
40849,11225
40850,11230
40851,10119
40852,11237
40853,11231
40854,11207
40855,10009
40856,11207
40857,11207
40858,11207
40859,10458
40860,11207
40861,10025
40862,11417
40863,10026
40864,10027
40865,10454
40866,11210
40867,11103
40868,11421
40869,11217
40870,10038
40871,11237
40872,11237
40873,11237
40874,11377
40875,10014
40876,11206
40877,10032
40878,10119
40879,10002
40880,11237
40881,11211
40882,10023
40883,11214
40884,10019
40885,11211
40886,10014
40887,11211
40888,10065
40889,11203
40890,10019
40891,10019
40892,10039
40893,10023
40894,10003
40895,11207
40896,10280
40897,11201
40898,11211
40899,10012
40900,11237
40901,11221
40902,11214
40903,11354
40904,10014
40905,11237
40906,11223
40907,10026
40908,11213
40909,10026
40910,11225
40911,10002
40912,11221
40913,10002
40914,10039
40915,11231
40916,11215
40917,11222
40918,11225
40919,11238
40920,11206
40921,11222
40922,10031
40923,10025
40924,11377
40925,10075
40926,10016
40927,11236
40928,11377
40929,11377
40930,10010
40931,10010
40932,11373
40933,10023
40934,11373
40935,11233
40936,11237
40937,11206
40938,11216
40939,11249
40940,11358
40941,11226
