,0
2000,10036
2001,11221
2002,11205
2003,11231
2004,10024
2005,11355
2006,11355
2007,11211
2008,11237
2009,10016
2010,11222
2011,10029
2012,11372
2013,11238
2014,11238
2015,10039
2016,10014
2017,11221
2018,10009
2019,10010
2020,11233
2021,11249
2022,11102
2023,10039
2024,10026
2025,10014
2026,11432
2027,11216
2028,11238
2029,11215
2030,10031
2031,10030
2032,11238
2033,11222
2034,11226
2035,10025
2036,10025
2037,11222
2038,10035
2039,10009
2040,11215
2041,10003
2042,10009
2043,11206
2044,11215
2045,10009
2046,10011
2047,10011
2048,11206
2049,11238
2050,11217
2051,10011
2052,10019
2053,11231
2054,11221
2055,10033
2056,11233
2057,11211
2058,10024
2059,10024
2060,11435
2061,11221
2062,11221
2063,10003
2064,10036
2065,10011
2066,10003
2067,10013
2068,11101
2069,11238
2070,11355
2071,10028
2072,11201
2073,11237
2074,10016
2075,11201
2076,11201
2077,10019
2078,10027
2079,11237
2080,11222
2081,10027
2082,11206
2083,11216
2084,11232
2085,11216
2086,10019
2087,11216
2088,10014
2089,10027
2090,11225
2091,11201
2092,10009
2093,10075
2094,11211
2095,11215
2096,11385
2097,10012
2098,10029
2099,10014
2100,10012
2101,11238
2102,11201
2103,10025
2104,11225
2105,10464
2106,11211
2107,10002
2108,11211
2109,10012
2110,11206
2111,11237
2112,11209
2113,10009
2114,11238
2115,11249
2116,10027
2117,10025
2118,11206
2119,11201
2120,11370
2121,10039
2122,10003
2123,11221
2124,10009
2125,11201
2126,11209
2127,10003
2128,10025
2129,10014
2130,11103
2131,11103
2132,10003
2133,10031
2134,10014
2135,10027
2136,11205
2137,10037
2138,11209
2139,11201
2140,10035
2141,11103
2142,11231
2143,11355
2144,11216
2145,10027
2146,10017
2147,10037
2148,10009
2149,10012
2150,11215
2151,10031
2152,10024
2153,10024
2154,10024
2155,10014
2156,11205
2157,10024
2158,10014
2159,10021
2160,11233
2161,11103
2162,10012
2163,10013
2164,10023
2165,10014
2166,11238
2167,11221
2168,10037
2169,10155
2170,10025
2171,11215
2172,10026
2173,10027
2174,11231
2175,11206
2176,11106
2177,11225
2178,11215
2179,11103
2180,11205
2181,10019
2182,11238
2183,11225
2184,11222
2185,11206
2186,11205
2187,11225
2188,11216
2189,10002
2190,11238
2191,10031
2192,11206
2193,10028
2194,11385
2195,11101
2196,10009
2197,11217
2198,10451
2199,10009
2200,10003
2201,10009
2202,11206
2203,11221
2204,11206
2205,11220
2206,10011
2207,10027
2208,11225
2209,11238
2210,11103
2211,10021
2212,11211
2213,11249
2214,10022
2215,10013
2216,11233
2217,10011
2218,10031
2219,11221
2220,11355
2221,10011
2222,10026
2223,11226
2224,11211
2225,11211
2226,11105
2227,11238
2228,10027
2229,10026
2230,10002
2231,10003
2232,10035
2233,10040
2234,11206
2235,11226
2236,11231
2237,10021
2238,11201
2239,10003
2240,10302
2241,10019
2242,10075
2243,11213
2244,10029
2245,11206
2246,11216
2247,10002
2248,10009
2249,11216
2250,10022
2251,11211
2252,10013
2253,11216
2254,10039
2255,10001
2256,11231
2257,11238
2258,11231
2259,10035
2260,11106
2261,11104
2262,10010
2263,10010
2264,11377
2265,10012
2266,11232
2267,10019
2268,11222
2269,10003
2270,11233
2271,11222
2272,10001
2273,10011
2274,11226
2275,10032
2276,11415
2277,11215
2278,10029
2279,11205
2280,10027
2281,11222
2282,10301
2283,10026
2284,11210
2285,11385
2286,10024
2287,11201
2288,10032
2289,11217
2290,11221
2291,11213
2292,10016
2293,11207
2294,10011
2295,10010
2296,10016
2297,11104
2298,11235
2299,11215
2300,11216
2301,11211
