,0
48000,10017
48001,11225
48002,10012
48003,10035
48004,11211
48005,11232
48006,10004
48007,10024
48008,11222
48009,10038
48010,10002
48011,11226
48012,10011
48013,11201
48014,10451
48015,10019
48016,11249
48017,11249
48018,11249
48019,10002
48020,11249
48021,11101
48022,11369
48023,10022
48024,10009
48025,11358
48026,11101
48027,11237
48028,11358
48029,10705
48030,11432
48031,11233
48032,10011
48033,10705
48034,11370
48035,11101
48036,11210
48037,10009
48038,11221
48039,11235
48040,10128
48041,10019
48042,10030
48043,10007
48044,11215
48045,10002
48046,10016
48047,10002
48048,10001
48049,11207
48050,10011
48051,11211
48052,11222
48053,11237
48054,10031
48055,11211
48056,11377
48057,10001
48058,11221
48059,11216
48060,11105
48061,11221
48062,11211
48063,11385
48064,11101
48065,11207
48066,11237
48067,10002
48068,10462
48069,11102
48070,10013
48071,10026
48072,10002
48073,11211
48074,11226
48075,10469
48076,11211
48077,11216
48078,10031
48079,11208
48080,10013
48081,10038
48082,10031
48083,10029
48084,10004
48085,10037
48086,11417
48087,11101
48088,11219
48089,10021
48090,11222
48091,10033
48092,10019
48093,11102
48094,10019
48095,10021
48096,11211
48097,10002
48098,11207
48099,11222
48100,11221
48101,11205
48102,10457
48103,11207
48104,10016
48105,10016
48106,11206
48107,10037
48108,10003
48109,11434
48110,11216
48111,10457
48112,10019
48113,10027
48114,10027
48115,10016
48116,10009
48117,10301
48118,10001
48119,10069
48120,10012
48121,10035
48122,11221
48123,11385
48124,11238
48125,11217
48126,11358
48127,11413
48128,11207
48129,11355
48130,11354
48131,10065
48132,10022
48133,10012
48134,10010
48135,10035
48136,11237
48137,10011
48138,10024
48139,10012
48140,11102
48141,11221
48142,11217
48143,10036
48144,10024
48145,11249
48146,10462
48147,10012
48148,10119
48149,11104
48150,10014
48151,10014
48152,11102
48153,11223
48154,10471
48155,10024
48156,11207
48157,11238
48158,10119
48159,10018
48160,11225
48161,10023
48162,11205
48163,11211
48164,10033
48165,11210
48166,10027
48167,11211
48168,10026
48169,10001
48170,10001
48171,10461
48172,11211
48173,11221
48174,10033
48175,10128
48176,11232
48177,10012
48178,11419
48179,10014
48180,10021
48181,11211
48182,10027
48183,11373
48184,11211
48185,11432
48186,10012
48187,11233
48188,11213
48189,10018
48190,11220
48191,11101
48192,11227
48193,11237
48194,10012
48195,10002
48196,10039
48197,11373
48198,10002
48199,11418
48200,10036
48201,10010
48202,11221
48203,10016
48204,11216
48205,10029
48206,10019
48207,11368
48208,10033
48209,10019
48210,10036
48211,10019
48212,11226
48213,10019
48214,10019
48215,11413
48216,11218
48217,10028
48218,11237
48219,11237
48220,10027
48221,11222
48222,11211
48223,11693
48224,11211
48225,10037
48226,10032
48227,10013
48228,11693
48229,10463
48230,11421
48231,11237
48232,10019
48233,11105
48234,11104
48235,10036
48236,11385
48237,11693
48238,10003
48239,11213
48240,11217
48241,11423
48242,11207
48243,10012
48244,11221
48245,10041
48246,10003
48247,11217
48248,11213
48249,11368
48250,10036
48251,11226
48252,10018
48253,11385
48254,10314
48255,10314
48256,11101
48257,11225
48258,11225
48259,11211
48260,10035
48261,10027
48262,10009
48263,11235
48264,10036
48265,10031
48266,10031
48267,11370
48268,10029
48269,11692
48270,10002
48271,10040
48272,10002
48273,10002
48274,11215
48275,10024
48276,11693
48277,11434
48278,11373
48279,10033
48280,10003
48281,11693
48282,10464
48283,11237
48284,11226
48285,10027
48286,10009
48287,10019
48288,10030
48289,10002
48290,11205
48291,11219
48292,11221
48293,11691
48294,11232
48295,11232
48296,10036
48297,11101
48298,10035
48299,11237
48300,11221
48301,10001
48302,11207
48303,11206
48304,10018
48305,10128
48306,10025
48307,11375
48308,10023
48309,10002
48310,10464
48311,11237
48312,10467
48313,10019
48314,11217
48315,11221
48316,11221
48317,10040
48318,11221
48319,10028
48320,11378
48321,10305
48322,10025
48323,11209
48324,10016
48325,11201
48326,11207
48327,11237
48328,11221
48329,11221
48330,11214
48331,10029
48332,11219
48333,10023
48334,11233
48335,10065
48336,11219
48337,11221
48338,11232
48339,11213
48340,10455
48341,11219
48342,11219
48343,10001
48344,11221
48345,10040
48346,10025
48347,11369
48348,10001
48349,11433
48350,11213
48351,11209
48352,10001
48353,10032
48354,10031
48355,11237
48356,11219
48357,11233
48358,11691
48359,11101
48360,11249
48361,11101
48362,10155
48363,10009
48364,11237
48365,11217
48366,10001
48367,10019
48368,10037
48369,11237
48370,10075
48371,11103
48372,11106
48373,11693
48374,10001
48375,11226
48376,10065
48377,10035
48378,10005
48379,10454
48380,11693
48381,11221
48382,11422
48383,10023
48384,11217
48385,11218
48386,11206
48387,11237
48388,10304
48389,10017
48390,11216
48391,11211
48392,10026
48393,10018
48394,11207
48395,11355
48396,11210
48397,11434
48398,10033
48399,10002
48400,10025
48401,10305
48402,10012
48403,10031
48404,11211
48405,11236
48406,11222
48407,10014
48408,11233
48409,11230
48410,11206
48411,10003
48412,11421
48413,10021
48414,10458
48415,10458
48416,10458
48417,10458
48418,11355
48419,11355
48420,11234
48421,11693
48422,11694
48423,10028
48424,10010
48425,11226
48426,10016
48427,11206
48428,10115
48429,10012
48430,10036
48431,11377
48432,10016
48433,11225
48434,11206
48435,11206
48436,11369
48437,11206
48438,11215
48439,10032
48440,11206
48441,10306
48442,11206
48443,10009
48444,11206
48445,11215
48446,10301
48447,10030
48448,10009
48449,10019
48450,11251
48451,11226
48452,10013
48453,10010
48454,10028
48455,10028
48456,11101
48457,10005
48458,11104
48459,11692
48460,11413
48461,10019
48462,11222
48463,10028
48464,11203
48465,11225
48466,11215
48467,10014
48468,11103
48469,11203
48470,11221
48471,10065
48472,11231
48473,10009
48474,10036
48475,11221
48476,10038
48477,10003
48478,10028
48479,10031
48480,10010
48481,10003
48482,11221
48483,11207
48484,11249
48485,10011
48486,11375
48487,10036
48488,11232
48489,10011
48490,11216
48491,11206
48492,10027
48493,10280
48494,11238
48495,11221
48496,10473
48497,10033
48498,10033
48499,10033
48500,11385
48501,11216
48502,11377
48503,11221
48504,11206
48505,10010
48506,11237
48507,10001
48508,11238
48509,10025
48510,10012
48511,11106
48512,11104
48513,11221
48514,11692
48515,10034
48516,11235
48517,11230
48518,10009
48519,10013
48520,10032
48521,11373
48522,11101
48523,11238
48524,11215
48525,11221
48526,11691
48527,10011
48528,11101
48529,10065
48530,10065
48531,11238
48532,11378
48533,10301
48534,11221
48535,11233
48536,11211
48537,10128
48538,10019
48539,11378
48540,11209
48541,11419
48542,10018
48543,10030
48544,11218
48545,10009
48546,11210
48547,11385
48548,10025
48549,10030
48550,11385
48551,10031
48552,11222
48553,11377
48554,11237
48555,11434
48556,10012
48557,10025
48558,11221
48559,10010
48560,10019
48561,10012
48562,10001
48563,10001
48564,10013
48565,10011
48566,10007
48567,10001
48568,11229
48569,11221
48570,11226
48571,10031
48572,11205
48573,10009
48574,11103
48575,11216
48576,10001
48577,11216
48578,11385
48579,10032
48580,11206
48581,11205
48582,11229
48583,10021
48584,11222
48585,11411
48586,10001
48587,11222
48588,11237
48589,11225
48590,10065
48591,11211
48592,10026
48593,11434
48594,11434
48595,10128
48596,10035
48597,10037
48598,10036
48599,11211
48600,11355
48601,10004
48602,11221
48603,11211
48604,11206
48605,10027
48606,11221
48607,11105
48608,11233
48609,11103
48610,11233
48611,10036
48612,11216
48613,11206
48614,10023
48615,11103
48616,10036
48617,11374
48618,11221
48619,10010
48620,10011
48621,11102
48622,10032
48623,10035
48624,11206
48625,11210
48626,10005
48627,10473
48628,10473
48629,10473
48630,10473
48631,10473
48632,10473
48633,10473
48634,10025
48635,10013
48636,11221
48637,10004
48638,11385
48639,11228
48640,11221
48641,10128
48642,10014
48643,10009
48644,11101
48645,11221
48646,11234
48647,11419
48648,11101
48649,10305
48650,10025
48651,11207
48652,11354
48653,11222
48654,10030
48655,11203
48656,11385
48657,11220
48658,11207
48659,10032
48660,10026
48661,11221
48662,11421
48663,11221
48664,10128
48665,11233
48666,11207
48667,10038
48668,10011
48669,11237
48670,10003
48671,10012
48672,11416
48673,11101
48674,10461
48675,10006
48676,10009
48677,11220
48678,11201
48679,10019
48680,10014
48681,10002
48682,11106
48683,11238
48684,11220
48685,11103
48686,10002
48687,11101
48688,10002
48689,10011
48690,11233
48691,11237
48692,11216
48693,11216
48694,11237
48695,10035
48696,11101
48697,10069
48698,10036
48699,11224
48700,10022
48701,11206
48702,11385
48703,11693
48704,11217
48705,10002
48706,10026
48707,11225
48708,10031
48709,11225
48710,11221
48711,11225
48712,11101
48713,11225
48714,11101
48715,11101
48716,11225
48717,10036
48718,11101
48719,11225
48720,11101
48721,11222
48722,10028
48723,10012
48724,10036
48725,10036
48726,11249
48727,10003
48728,10009
48729,10001
48730,11412
48731,11215
48732,10002
48733,11375
48734,11206
48735,11237
48736,10027
48737,10011
48738,10032
48739,10009
48740,11201
48741,11211
48742,10026
48743,11221
48744,11249
48745,10009
48746,10018
48747,11101
48748,10035
48749,10029
48750,10025
48751,11694
48752,11216
48753,11221
48754,11211
48755,10017
48756,10010
48757,10013
48758,11101
48759,10029
48760,11104
48761,11693
48762,11101
48763,11231
48764,11372
48765,11222
48766,11206
48767,11221
48768,11206
48769,11211
48770,10174
48771,11222
48772,11221
48773,11235
48774,11385
48775,10035
48776,11237
48777,11221
48778,10029
48779,11206
48780,11226
48781,11221
48782,10128
48783,10457
48784,10028
48785,10019
48786,11413
48787,11216
48788,10002
48789,10001
48790,11355
48791,11411
48792,10459
48793,11226
48794,11217
48795,10456
48796,10456
48797,11103
48798,10128
48799,10308
48800,11237
48801,
48802,11211
48803,10019
48804,10004
48805,10454
48806,11229
48807,10027
48808,10039
48809,10023
48810,10025
