,0
42000,10462
42001,10027
42002,11221
42003,11249
42004,10033
42005,11226
42006,11106
42007,10019
42008,10037
42009,10036
42010,11211
42011,10019
42012,11377
42013,10009
42014,10025
42015,11221
42016,10009
42017,11385
42018,11372
42019,11216
42020,11377
42021,10036
42022,10463
42023,10069
42024,10028
42025,10031
42026,10029
42027,10023
42028,11375
42029,11206
42030,10036
42031,10016
42032,10001
42033,10016
42034,10009
42035,11225
42036,10029
42037,11106
42038,11372
42039,10003
42040,11211
42041,10009
42042,10033
42043,11238
42044,11211
42045,10016
42046,10016
42047,11221
42048,11220
42049,10011
42050,11216
42051,10019
42052,11216
42053,10025
42054,11233
42055,11236
42056,11235
42057,11233
42058,10069
42059,11235
42060,10002
42061,10025
42062,10021
42063,11109
42064,10001
42065,10001
42066,11418
42067,10001
42068,10001
42069,10001
42070,10119
42071,10001
42072,10119
42073,10001
42074,10036
42075,10036
42076,10036
42077,10036
42078,10036
42079,10036
42080,10036
42081,10036
42082,10036
42083,10024
42084,10024
42085,10023
42086,10023
42087,10024
42088,10024
42089,10024
42090,10023
42091,10024
42092,10023
42093,10036
42094,10019
42095,10036
42096,10036
42097,10036
42098,11238
42099,10001
42100,10030
42101,11385
42102,11385
42103,10305
42104,10019
42105,10035
42106,10017
42107,10035
42108,10003
42109,10002
42110,11222
42111,11207
42112,10128
42113,11434
42114,10025
42115,10466
42116,11101
42117,10035
42118,11237
42119,10035
42120,10009
42121,11377
42122,11231
42123,10016
42124,10026
42125,10025
42126,10016
42127,10461
42128,10018
42129,10036
42130,10036
42131,10024
42132,11377
42133,11201
42134,10002
42135,11222
42136,11385
42137,11385
42138,11216
42139,11221
42140,11211
42141,10016
42142,11374
42143,11201
42144,10017
42145,11418
42146,10034
42147,10031
42148,11238
42149,11211
42150,11215
42151,11237
42152,11216
42153,11221
42154,11692
42155,10026
42156,11233
42157,11233
42158,10013
42159,11206
42160,11221
42161,10003
42162,11221
42163,11221
42164,10002
42165,11206
42166,10025
42167,10028
42168,10003
42169,10017
42170,10016
42171,10016
42172,11224
42173,11106
42174,11205
42175,11207
42176,11369
42177,10014
42178,10003
42179,11221
42180,10025
42181,11211
42182,10016
42183,11694
42184,11203
42185,11203
42186,11216
42187,11105
42188,11354
42189,10011
42190,11209
42191,11206
42192,10033
42193,11373
42194,11233
42195,10026
42196,10031
42197,10029
42198,11412
42199,10016
42200,11237
42201,11221
42202,10011
42203,10032
42204,10011
42205,11106
42206,11211
42207,11375
42208,11103
42209,10001
42210,11377
42211,11378
42212,10001
42213,11233
42214,10032
42215,11233
42216,11231
42217,10036
42218,11103
42219,10469
42220,11224
42221,10009
42222,11217
42223,10016
42224,11211
42225,10464
42226,11215
42227,11225
42228,11379
42229,10036
42230,11229
42231,10128
42232,11206
42233,10021
42234,11206
42235,11106
42236,11221
42237,10469
42238,11102
42239,10014
42240,10457
42241,11106
42242,10458
42243,11205
42244,10028
42245,10034
42246,10034
42247,10002
42248,10303
42249,10461
42250,10461
42251,10016
42252,10461
42253,10029
42254,10003
42255,10011
42256,10011
42257,10031
42258,10019
42259,11249
42260,11211
42261,11221
42262,11221
42263,10168
42264,10014
42265,10470
42266,10016
42267,11692
42268,10031
42269,11367
42270,10001
42271,11222
42272,10003
42273,11209
42274,10470
42275,11355
42276,11106
42277,11377
42278,11221
42279,10036
42280,10021
42281,11207
42282,10014
42283,10003
42284,10466
42285,10002
42286,10466
42287,11205
42288,11221
42289,11233
42290,10014
42291,10019
42292,10280
42293,10016
42294,10010
42295,10016
42296,10019
42297,10016
42298,10001
42299,11206
42300,10016
42301,11206
42302,11372
42303,11205
42304,11101
42305,11216
42306,10017
42307,11221
42308,11370
42309,11215
42310,11218
42311,10009
42312,11211
42313,10004
42314,11206
42315,11234
42316,11355
42317,11234
42318,10075
42319,11358
42320,11369
42321,10019
42322,10003
42323,10036
42324,11432
42325,11365
42326,10035
42327,11102
42328,11216
42329,11216
42330,11211
42331,11233
42332,11213
42333,10033
42334,10019
42335,11209
42336,10025
42337,11106
42338,10014
42339,11207
42340,11216
42341,10019
42342,11216
42343,10018
42344,11221
42345,11221
42346,10455
42347,10022
42348,10016
42349,10025
42350,10024
42351,11436
42352,11433
42353,11225
42354,10002
42355,10158
42356,11238
42357,10019
42358,11221
42359,10014
42360,11249
42361,11231
42362,11216
42363,11103
42364,11221
42365,10199
42366,11101
42367,11249
42368,10022
42369,11219
42370,11233
42371,11221
42372,10011
42373,11213
42374,11208
42375,11105
42376,11213
42377,11206
42378,10301
42379,10036
42380,10031
42381,11103
42382,11203
42383,10009
42384,10016
42385,11216
42386,10036
42387,11222
42388,11249
42389,10038
42390,11225
42391,10454
42392,10010
42393,11207
42394,11429
42395,10451
42396,10456
42397,11237
42398,11233
42399,11233
42400,10452
42401,11206
42402,11368
42403,11225
42404,10301
42405,10036
42406,11209
42407,10019
42408,11233
42409,10031
42410,11237
42411,10022
42412,11211
42413,11372
42414,11208
42415,10302
42416,11372
42417,11415
42418,11206
42419,11206
42420,11415
42421,11221
42422,10031
42423,11221
42424,10472
42425,10033
42426,11220
42427,10024
42428,10036
42429,10019
42430,10454
42431,11413
42432,11235
42433,10128
42434,11102
42435,10009
42436,11223
42437,10029
42438,11420
42439,10009
42440,11237
42441,11205
42442,11207
42443,10472
42444,11433
42445,10474
42446,11372
42447,11221
42448,11211
42449,11373
42450,11223
42451,11213
42452,10002
42453,10027
42454,11105
42455,11221
42456,10010
42457,10304
42458,11385
42459,11385
42460,11367
42461,10025
42462,11693
42463,10003
42464,10023
42465,10023
42466,10128
42467,11225
42468,10003
42469,11222
42470,11222
42471,10002
42472,10027
42473,11213
42474,10035
42475,10019
42476,11210
42477,10014
42478,11206
42479,11206
42480,11206
42481,11206
42482,11203
42483,10012
42484,10012
42485,10032
42486,10474
42487,11222
42488,11206
42489,11235
42490,11233
42491,10458
42492,10011
42493,11216
42494,10002
42495,10023
42496,10012
42497,10031
42498,11229
42499,10019
42500,10012
42501,10128
42502,11377
42503,11101
42504,10463
42505,10002
42506,11105
42507,10013
42508,11109
42509,11216
42510,11222
42511,11211
42512,10012
42513,11211
42514,10025
42515,11211
42516,11216
42517,11206
42518,10025
42519,11229
42520,10452
42521,11221
42522,10044
42523,10280
42524,11355
42525,10022
42526,11385
42527,11206
42528,11369
42529,11249
42530,10003
42531,10003
42532,10003
42533,11206
42534,10003
42535,10003
42536,10030
42537,11221
42538,10023
42539,11221
42540,11106
42541,10038
42542,10024
42543,10280
42544,10019
42545,11206
42546,10019
42547,10019
42548,11231
42549,10019
42550,10019
42551,11221
42552,10036
42553,11106
42554,11369
42555,11213
42556,11385
42557,11221
42558,10019
42559,11385
42560,11211
42561,10031
42562,10002
42563,11249
42564,11221
42565,11211
42566,10029
42567,10026
42568,11206
42569,10030
42570,11216
42571,11216
42572,10128
42573,11377
42574,10009
42575,10036
42576,11221
42577,11217
42578,10016
42579,10031
42580,11377
42581,10023
42582,11213
42583,10009
42584,11221
42585,10025
42586,11201
42587,10019
42588,10044
42589,10002
42590,11233
42591,10044
42592,11354
42593,11221
42594,10026
42595,10002
42596,11226
42597,11206
42598,11692
42599,11373
42600,10038
42601,10011
42602,11238
42603,11369
42604,10001
42605,10017
42606,11237
42607,10004
42608,11211
42609,10019
42610,10016
42611,10001
42612,11237
42613,10031
42614,10002
42615,11379
42616,10016
42617,11221
42618,11213
42619,11221
42620,10016
42621,11221
42622,11103
42623,11206
42624,11237
42625,11221
42626,11211
42627,10003
42628,11206
42629,10016
42630,10003
42631,10036
42632,10011
42633,11434
42634,10009
42635,11105
42636,10304
42637,10016
42638,11238
42639,10038
42640,11206
42641,10065
