,0
10000,10280
10001,11225
10002,10474
10003,10026
10004,11211
10005,11225
10006,10069
10007,11226
10008,11238
10009,10025
10010,11201
10011,10002
10012,10036
10013,11251
10014,10037
10015,11249
10016,11201
10017,10024
10018,11249
10019,11222
10020,11206
10021,11211
10022,11221
10023,10040
10024,10016
10025,10033
10026,10065
10027,11237
10028,11231
10029,10030
10030,10027
10031,10075
10032,10003
10033,11206
10034,10031
10035,10022
10036,11222
10037,10014
10038,10038
10039,10013
10040,10033
10041,10012
10042,11235
10043,11238
10044,11373
10045,11207
10046,11213
10047,10029
10048,11201
10049,11377
10050,11249
10051,11216
10052,11233
10053,10033
10054,11231
10055,10023
10056,10040
10057,10002
10058,10010
10059,11238
10060,10025
10061,11101
10062,11216
10063,10027
10064,11416
10065,11205
10066,11106
10067,10036
10068,11221
10069,10029
10070,11206
10071,11238
10072,11231
10073,11222
10074,11203
10075,10036
10076,10016
10077,10036
10078,10025
10079,11104
10080,11211
10081,11225
10082,11201
10083,11217
10084,11216
10085,11692
10086,10019
10087,10474
10088,10027
10089,11225
10090,11365
10091,11215
10092,10040
10093,11233
10094,11231
10095,10027
10096,11249
10097,11206
10098,11222
10099,10027
10100,10029
10101,10027
10102,11373
10103,11238
10104,11232
10105,11211
10106,11217
10107,10039
10108,10002
10109,10031
10110,11206
10111,11206
10112,11233
10113,10011
10114,10011
10115,10040
10116,10011
10117,11377
10118,10019
10119,11221
10120,11216
10121,10031
10122,11216
10123,11203
10124,11211
10125,11357
10126,10025
10127,11233
10128,11238
10129,10014
10130,11368
10131,11377
10132,10461
10133,10025
10134,11217
10135,11693
10136,11106
10137,10011
10138,11221
10139,10011
10140,10128
10141,10006
10142,11216
10143,11205
10144,10010
10145,11211
10146,11206
10147,10024
10148,11233
10149,11101
10150,11237
10151,10128
10152,11216
10153,11237
10154,11434
10155,11237
10156,11237
10157,11237
10158,10002
10159,11237
10160,11237
10161,11237
10162,11206
10163,10115
10164,11226
10165,10028
10166,11204
10167,10475
10168,10475
10169,10001
10170,10002
10171,11226
10172,10025
10173,11230
10174,10027
10175,11206
10176,11233
10177,11211
10178,11225
10179,10002
10180,10003
10181,10026
10182,10003
10183,11109
10184,10021
10185,10023
10186,10032
10187,11211
10188,10036
10189,11207
10190,10069
10191,11217
10192,11211
10193,10128
10194,11206
10195,10016
10196,11238
10197,11385
10198,11215
10199,10019
10200,10013
10201,10075
10202,11217
10203,11226
10204,11221
10205,10009
10206,10011
10207,10011
10208,10027
10209,11222
10210,10025
10211,11225
10212,10011
10213,11206
10214,10036
10215,10025
10216,10031
10217,10002
10218,11103
10219,11237
10220,11104
10221,10003
10222,11216
10223,11238
10224,11205
10225,11221
10226,10014
10227,11218
10228,11206
10229,10027
10230,11211
10231,11213
10232,11205
10233,10010
10234,11249
10235,10024
10236,10016
10237,10016
10238,11206
10239,11211
10240,10014
10241,11220
10242,11217
10243,10012
10244,10023
10245,11211
10246,11225
10247,10027
10248,10003
10249,11216
10250,11216
10251,10002
10252,10003
10253,11249
10254,11205
10255,11231
10256,10003
10257,10030
10258,11249
10259,11222
10260,10310
10261,11217
10262,11206
10263,10017
10264,10009
10265,10010
10266,10019
10267,11213
10268,10012
10269,11249
10270,10014
10271,10022
10272,11221
10273,10011
10274,10065
10275,10025
10276,10004
10277,10018
10278,10026
10279,11221
10280,10016
10281,10025
10282,11221
10283,10454
10284,11249
10285,11101
10286,10025
10287,11221
10288,11216
10289,11377
10290,10025
10291,10033
10292,10026
10293,11211
10294,10004
10295,11211
10296,11215
10297,10016
10298,10011
10299,10033
10300,10011
10301,11211
10302,10003
10303,11249
10304,11103
10305,11204
10306,11205
10307,11249
10308,12692
10309,10028
10310,10009
10311,10019
10312,10023
10313,10024
10314,10031
10315,10029
10316,11211
10317,10036
10318,10014
10319,11206
10320,10003
10321,11221
10322,11249
10323,10026
10324,11103
10325,10021
10326,10002
10327,10004
10328,11205
10329,10002
10330,11378
10331,11211
10332,10009
10333,10003
10334,11238
10335,10036
10336,10031
10337,11233
10338,10003
10339,11238
10340,11206
10341,11218
10342,11203
10343,10036
10344,10019
10345,10002
10346,10009
10347,11211
10348,11221
10349,11216
10350,10021
10351,11205
10352,10009
10353,10040
10354,10012
10355,11201
10356,10002
10357,11233
10358,11238
10359,10011
10360,11249
10361,10031
10362,11233
10363,11206
10364,11237
10365,11233
10366,11106
10367,11225
10368,10002
10369,10009
10370,11225
10371,11233
10372,11204
10373,11231
10374,10021
10375,10029
10376,10014
10377,11206
10378,10464
10379,11211
10380,11217
10381,11370
10382,10001
10383,10003
10384,11213
10385,11237
10386,11233
10387,10003
10388,11215
10389,10030
10390,10030
10391,10004
10392,11231
10393,11238
10394,11235
10395,11101
10396,11221
10397,11209
10398,10019
10399,10003
10400,10009
10401,10019
10402,11237
10403,11385
10404,10011
10405,11207
10406,11207
10407,10011
10408,11106
10409,10028
10410,11222
10411,11237
10412,11106
10413,11238
10414,10021
10415,11211
10416,10032
10417,11226
10418,10031
10419,11238
10420,11238
10421,11106
10422,10016
10423,10119
10424,11217
10425,11205
10426,11249
10427,11201
10428,10001
10429,11225
10430,11222
10431,10019
10432,11249
10433,11237
10434,11205
10435,11231
10436,11221
10437,10012
10438,11211
10439,10031
10440,11211
10441,11377
10442,11213
10443,10069
10444,11238
10445,11230
10446,11205
10447,10119
10448,10016
10449,11214
10450,11104
10451,10014
10452,11229
10453,11232
10454,10032
10455,10002
10456,11222
10457,10023
10458,10038
10459,11216
10460,10031
10461,10003
10462,10001
10463,10011
10464,11213
10465,11221
10466,11106
10467,11206
10468,11215
10469,10032
10470,10002
10471,10014
10472,10025
10473,11238
10474,10002
10475,11377
10476,10011
10477,11201
10478,11211
10479,11238
10480,11217
10481,10040
10482,10002
10483,10026
10484,10025
10485,10016
10486,10025
10487,11216
10488,11211
10489,11249
10490,10001
10491,11103
10492,11222
10493,11206
10494,10009
10495,11211
10496,10022
10497,10128
10498,11221
10499,10026
10500,11249
10501,11221
10502,11221
10503,11221
10504,10033
10505,11221
10506,11221
10507,11221
10508,11238
10509,11237
10510,11221
10511,11211
10512,11238
10513,10014
10514,10025
10515,11238
10516,11225
10517,11221
10518,10002
10519,11211
10520,11205
10521,11221
10522,11237
10523,10002
10524,11206
10525,10014
10526,11233
10527,11203
10528,10022
10529,11222
10530,10019
10531,10005
10532,11101
10533,10027
10534,10128
10535,11206
10536,10035
10537,11222
10538,11221
10539,10021
10540,10036
10541,10016
10542,10065
10543,11104
10544,11238
10545,10025
10546,11215
10547,11231
10548,11217
10549,10024
10550,10002
10551,11217
10552,10022
10553,10030
10554,10003
10555,11206
10556,11364
10557,10009
10558,11102
10559,11211
10560,11237
10561,11222
10562,11368
10563,11368
10564,11101
10565,10019
10566,10009
10567,11216
10568,10018
10569,10028
10570,10021
10571,10174
10572,11206
10573,10014
10574,10030
10575,11249
10576,11218
10577,10025
10578,10009
10579,10010
10580,11221
10581,11226
10582,10019
10583,10036
10584,11385
10585,11233
10586,10069
10587,11233
10588,10004
10589,11201
10590,10027
10591,10003
10592,10011
10593,11215
10594,11105
10595,11238
10596,11211
10597,11237
10598,11249
10599,11221
10600,11225
10601,10002
10602,10009
10603,10002
10604,10009
10605,10012
10606,10002
10607,10280
10608,10013
10609,11221
10610,10002
10611,10017
10612,10025
10613,10002
10614,10009
10615,10128
10616,11249
10617,11216
10618,10011
10619,11225
10620,11103
10621,10026
10622,11222
10623,11369
10624,11432
10625,10128
10626,10036
10627,11106
10628,11218
10629,10037
10630,10002
10631,10128
10632,11213
10633,11220
10634,11237
10635,10026
10636,10044
