,0
32000,10025
32001,10016
32002,10029
32003,10014
32004,11434
32005,11421
32006,11412
32007,10029
32008,10025
32009,11216
32010,10452
32011,10001
32012,11231
32013,10036
32014,11211
32015,11213
32016,10029
32017,11235
32018,10035
32019,11221
32020,11369
32021,10463
32022,10462
32023,10308
32024,11211
32025,11217
32026,11434
32027,11205
32028,11355
32029,11207
32030,10002
32031,10029
32032,10009
32033,10016
32034,10002
32035,10002
32036,11221
32037,11420
32038,10030
32039,10012
32040,11207
32041,10031
32042,10024
32043,11233
32044,10018
32045,11238
32046,10024
32047,11205
32048,10003
32049,10012
32050,11237
32051,10013
32052,11232
32053,11207
32054,10002
32055,10009
32056,10463
32057,10009
32058,11207
32059,11201
32060,10035
32061,11208
32062,11233
32063,11207
32064,10016
32065,10075
32066,11217
32067,11236
32068,11201
32069,11206
32070,11419
32071,11238
32072,11221
32073,10013
32074,10031
32075,10007
32076,10031
32077,11201
32078,11226
32079,10025
32080,11385
32081,10027
32082,11218
32083,10031
32084,10014
32085,10025
32086,10028
32087,10021
32088,11216
32089,10032
32090,10013
32091,10009
32092,11215
32093,10009
32094,10027
32095,11213
32096,11226
32097,11211
32098,10009
32099,11222
32100,10036
32101,11221
32102,11221
32103,11249
32104,11206
32105,10465
32106,10002
32107,10003
32108,10031
32109,10006
32110,10036
32111,10035
32112,10027
32113,10128
32114,11221
32115,11101
32116,10035
32117,10038
32118,11249
32119,10017
32120,10031
32121,11216
32122,10039
32123,10025
32124,10025
32125,10036
32126,11207
32127,11249
32128,11235
32129,11104
32130,11222
32131,10022
32132,10031
32133,11356
32134,11368
32135,10027
32136,11217
32137,11238
32138,11233
32139,11385
32140,10305
32141,10036
32142,11225
32143,10002
32144,10026
32145,11206
32146,11221
32147,10025
32148,11216
32149,10029
32150,11216
32151,10013
32152,11211
32153,11222
32154,11251
32155,10037
32156,10025
32157,10009
32158,11102
32159,11692
32160,10029
32161,10035
32162,11693
32163,11211
32164,11206
32165,11102
32166,11102
32167,10024
32168,10028
32169,11213
32170,10003
32171,11207
32172,11226
32173,10021
32174,11377
32175,10001
32176,11216
32177,11385
32178,10022
32179,11215
32180,11203
32181,11221
32182,11379
32183,10010
32184,10029
32185,11221
32186,10036
32187,11207
32188,11233
32189,11370
32190,10023
32191,10009
32192,11222
32193,10023
32194,11222
32195,11211
32196,10005
32197,10009
32198,10038
32199,10005
32200,11221
32201,11231
32202,10039
32203,10005
32204,11420
32205,10028
32206,11233
32207,11216
32208,10038
32209,10308
32210,10019
32211,10011
32212,10308
32213,11216
32214,10003
32215,11226
32216,11373
32217,10011
32218,11233
32219,11215
32220,10019
32221,11213
32222,10011
32223,11236
32224,10301
32225,11101
32226,11222
32227,11209
32228,10034
32229,11385
32230,10009
32231,10029
32232,10031
32233,10012
32234,11216
32235,10034
32236,11221
32237,11217
32238,11214
32239,11207
32240,11233
32241,11385
32242,10010
32243,11211
32244,10030
32245,11221
32246,10019
32247,11222
32248,11205
32249,11249
32250,10465
32251,10029
32252,11224
32253,10003
32254,10014
32255,10025
32256,11237
32257,10019
32258,10034
32259,11101
32260,10014
32261,11207
32262,10028
32263,11213
32264,10028
32265,11102
32266,11220
32267,11219
32268,10019
32269,10029
32270,11219
32271,11373
32272,10009
32273,10037
32274,10024
32275,11201
32276,11206
32277,11206
32278,10469
32279,11232
32280,11237
32281,10009
32282,11206
32283,10011
32284,10003
32285,10013
32286,11223
32287,11434
32288,10026
32289,10033
32290,10038
32291,10013
32292,11104
32293,10034
32294,11205
32295,10032
32296,10032
32297,11221
32298,11377
32299,11211
32300,11236
32301,11377
32302,11232
32303,11221
32304,10018
32305,11215
32306,10012
32307,11221
32308,11249
32309,11221
32310,11207
32311,10010
32312,10017
32313,11221
32314,11211
32315,10467
32316,10029
32317,11205
32318,10009
32319,11213
32320,11238
32321,10031
32322,10017
32323,10019
32324,10017
32325,10027
32326,10011
32327,11211
32328,10031
32329,10021
32330,11201
32331,10461
32332,11221
32333,11237
32334,10025
32335,11372
32336,10024
32337,11249
32338,11102
32339,11205
32340,11205
32341,10028
32342,11105
32343,11211
32344,11206
32345,10036
32346,11217
32347,10027
32348,10469
32349,11229
32350,11222
32351,10039
32352,11435
32353,11101
32354,11212
32355,10012
32356,10032
32357,10038
32358,11369
32359,10463
32360,10002
32361,10036
32362,11238
32363,11221
32364,10007
32365,10013
32366,10013
32367,11221
32368,10069
32369,11101
32370,10003
32371,11211
32372,10065
32373,10003
32374,10011
32375,11368
32376,10019
32377,11210
32378,11368
32379,10027
32380,11216
32381,11206
32382,11220
32383,10028
32384,11236
32385,11216
32386,11215
32387,10022
32388,10034
32389,11231
32390,11237
32391,11205
32392,11221
32393,11222
32394,10026
32395,11216
32396,10466
32397,11225
32398,11221
32399,11434
32400,10011
32401,11434
32402,10003
32403,10022
32404,11233
32405,10009
32406,11201
32407,11215
32408,10011
32409,11201
32410,11231
32411,10017
32412,11221
32413,11105
32414,10012
32415,11106
32416,10013
32417,11370
32418,11203
32419,11215
32420,10011
32421,10011
32422,10027
32423,11206
32424,11217
32425,11211
32426,10014
32427,11237
32428,11221
32429,10032
32430,10032
32431,10011
32432,11374
32433,10036
32434,10032
32435,11201
32436,11216
32437,10455
32438,10040
32439,11225
32440,11222
32441,11201
32442,10023
32443,11235
32444,10002
32445,11221
32446,11211
32447,10007
32448,11222
32449,10012
32450,11213
32451,10018
32452,11217
32453,11217
32454,10011
32455,10005
32456,10032
32457,11206
32458,11213
32459,11211
32460,10013
32461,10023
32462,10018
32463,11211
32464,10011
32465,11105
32466,11374
32467,11101
32468,11206
32469,10005
32470,11231
32471,11222
32472,10004
32473,10009
32474,11211
32475,10016
32476,11206
32477,10016
32478,10025
32479,11205
32480,11423
32481,11249
32482,10032
32483,11222
32484,11213
32485,10019
32486,10019
32487,10019
32488,10019
32489,10019
32490,11207
32491,11205
32492,11238
32493,11211
32494,11373
32495,11106
32496,11238
32497,10029
32498,10455
32499,10471
32500,11694
32501,10023
32502,11238
32503,10012
32504,10069
32505,10452
32506,10069
32507,10019
32508,11206
32509,11222
32510,10466
32511,10014
32512,10016
32513,10021
32514,10021
32515,10025
32516,11233
32517,10033
32518,11237
32519,10014
32520,11222
32521,11237
32522,10024
32523,11213
32524,10026
32525,10024
32526,11226
32527,10024
32528,10002
32529,10002
32530,10303
32531,11370
32532,10162
32533,11236
32534,11206
32535,10016
32536,11104
32537,11377
32538,11232
32539,11211
32540,11205
32541,11232
32542,10026
32543,10025
32544,11217
32545,11222
32546,10034
32547,10014
32548,10024
32549,10011
32550,10005
32551,11221
32552,11249
32553,10019
32554,10461
32555,11230
32556,10014
32557,11211
32558,11206
32559,10027
32560,10017
32561,10019
32562,11212
32563,11215
32564,11206
32565,11692
32566,11217
32567,10019
32568,10027
32569,10065
32570,11106
32571,10029
32572,11233
32573,11215
32574,10038
32575,11238
32576,10029
32577,11206
32578,10016
32579,10040
32580,11385
32581,10002
32582,10032
32583,10032
32584,11385
32585,11233
32586,11225
32587,10036
32588,10013
32589,10012
32590,11217
32591,11211
32592,11211
32593,10028
32594,11233
32595,11234
32596,10016
32597,11211
32598,11215
32599,10033
32600,10028
32601,10031
32602,10002
32603,11377
32604,11237
32605,11213
32606,11233
32607,10031
32608,11355
32609,10107
32610,10010
32611,10025
32612,10023
32613,10003
32614,10199
32615,11222
32616,10026
32617,11226
32618,10456
32619,10458
32620,11249
32621,11238
32622,10009
32623,11236
32624,11219
32625,10037
32626,11385
32627,11203
32628,10301
32629,10016
32630,11103
32631,10023
32632,10019
32633,11373
32634,10019
32635,10019
32636,11416
32637,10018
32638,10018
32639,11428
32640,10003
32641,10003
32642,11377
32643,11216
32644,10025
32645,11211
32646,11429
32647,10021
32648,11101
32649,11211
32650,10025
32651,10014
32652,11435
32653,10025
32654,11435
32655,10025
32656,11211
32657,10001
32658,10018
32659,10021
32660,10031
32661,11217
32662,11693
32663,10009
32664,11238
32665,11203
32666,10038
32667,10029
32668,11207
32669,10011
32670,11225
32671,11378
32672,10035
32673,10016
32674,11435
32675,11434
32676,10027
32677,11206
32678,11206
32679,11213
32680,11211
32681,11213
32682,11217
32683,11225
32684,11222
32685,10025
32686,10005
32687,11226
32688,11219
32689,11226
32690,10128
32691,10009
32692,11222
32693,10011
32694,11211
32695,10031
32696,11203
32697,10019
32698,11237
32699,10009
32700,11221
32701,11249
32702,10003
32703,11216
32704,10301
32705,10004
32706,10039
32707,11226
32708,11205
32709,
32710,11231
32711,10028
32712,10026
32713,10016
32714,10038
32715,11218
32716,11236
32717,11233
32718,10037
32719,10027
32720,10016
32721,10014
32722,11377
32723,11377
32724,11233
32725,11233
32726,10009
32727,10036
32728,11211
32729,10022
32730,10037
32731,10025
32732,11205
32733,11221
32734,10012
32735,11237
32736,11207
32737,11211
32738,10009
32739,11230
32740,11215
32741,11237
32742,11377
32743,11232
32744,10027
32745,10026
32746,11205
32747,11206
32748,11226
32749,11216
32750,11201
32751,11206
32752,11232
32753,11203
32754,11226
32755,10029
32756,11226
32757,10030
32758,11231
32759,10018
32760,10018
32761,10038
32762,10003
32763,10036
32764,11103
32765,10019
32766,11233
32767,11205
32768,10128
32769,10002
32770,10001
32771,10023
32772,11206
32773,11225
32774,11249
32775,10002
32776,11212
32777,10009
32778,10024
32779,10001
32780,11207
32781,10462
32782,10199
32783,10014
32784,10462
32785,11219
32786,10040
32787,11226
32788,10028
32789,10001
32790,10025
32791,11226
32792,11374
32793,11104
32794,10026
32795,10002
32796,10013
32797,10457
32798,11210
32799,11378
32800,10018
32801,11249
32802,10199
32803,11417
32804,11102
32805,11207
32806,10031
32807,11421
32808,10002
32809,10002
32810,11232
32811,10011
32812,11435
32813,10002
32814,11222
32815,11373
32816,11249
32817,11435
32818,10024
32819,11435
32820,10012
32821,10009
32822,11226
32823,11221
32824,10019
32825,10019
32826,10030
32827,11231
32828,11205
32829,11207
32830,11224
32831,10128
32832,10009
32833,10019
32834,11211
32835,10035
32836,11201
32837,10029
32838,10019
32839,10035
32840,11691
32841,11221
32842,10009
32843,10128
32844,10003
32845,11221
32846,10027
32847,11435
32848,10025
32849,10032
32850,11105
32851,10031
32852,10128
32853,10465
32854,10029
32855,11432
32856,11207
32857,10000
32858,10027
32859,10025
32860,11215
32861,11238
32862,11205
32863,11220
32864,11237
32865,10018
32866,10017
32867,11434
32868,11201
32869,11233
32870,10027
32871,10036
32872,10027
32873,11205
32874,11249
32875,10030
32876,11233
32877,11375
32878,10458
32879,10021
32880,11215
32881,10022
32882,11433
32883,11385
32884,10013
32885,11225
32886,10454
32887,11231
32888,11249
32889,10010
32890,10016
32891,10005
32892,10019
32893,10012
32894,10012
32895,11205
32896,10031
32897,11237
32898,10002
32899,10016
32900,10031
32901,10027
32902,10029
32903,11205
32904,10026
32905,11221
32906,10031
32907,11377
32908,11103
32909,10014
32910,10036
32911,11220
32912,11219
32913,10036
32914,11221
32915,11230
32916,11229
32917,10002
32918,10031
32919,11210
32920,11238
32921,10128
32922,10025
32923,11432
32924,10009
32925,11203
32926,10065
32927,10026
32928,11216
32929,10026
32930,11222
32931,11222
32932,10031
32933,10033
32934,10128
32935,10033
32936,11233
32937,10021
32938,10012
32939,10031
32940,10013
32941,10033
32942,11367
32943,11249
32944,11207
32945,11213
32946,10023
32947,10040
32948,10027
32949,10014
32950,10012
32951,10021
32952,10013
32953,11211
32954,11225
32955,10463
32956,10012
32957,11222
32958,11222
32959,11222
32960,11222
32961,11218
32962,10019
32963,11207
32964,10032
32965,10012
32966,11206
32967,11215
32968,10040
32969,10022
32970,11211
32971,11206
32972,10466
32973,10003
32974,10065
32975,10030
32976,10019
32977,10468
32978,10003
32979,11207
32980,11217
32981,10034
32982,10002
32983,10002
32984,11236
32985,11221
32986,10128
32987,11211
32988,11207
32989,10025
32990,11237
32991,11232
32992,10019
32993,11216
32994,11222
32995,11221
32996,10009
32997,11238
32998,11222
32999,10014
33000,11205
33001,10039
33002,11206
33003,11225
33004,10024
33005,10031
33006,11206
33007,10014
33008,10027
33009,11216
33010,10031
33011,10024
33012,10014
33013,10035
33014,10009
33015,10014
33016,11216
33017,10031
33018,11226
33019,11218
33020,11221
33021,11221
33022,11221
33023,11222
33024,10012
33025,11211
33026,11206
33027,10033
33028,11385
33029,11213
33030,10122
33031,11238
33032,11233
33033,10012
33034,11216
33035,11207
33036,10011
33037,11249
33038,11385
33039,11101
33040,10010
33041,10009
33042,11693
33043,11233
33044,10010
33045,11226
33046,11201
33047,11233
33048,11233
33049,10012
33050,11216
33051,10023
33052,11249
33053,10027
33054,11216
33055,10115
33056,11215
33057,11421
33058,10453
33059,11101
33060,11238
33061,11432
33062,10012
33063,11220
33064,10014
33065,11213
33066,10002
33067,11238
33068,10026
33069,10034
33070,11222
33071,11249
33072,10301
33073,11201
33074,11356
33075,11213
33076,11205
33077,11237
33078,11226
33079,10028
33080,10003
33081,11217
33082,11217
33083,11231
33084,11205
33085,11216
33086,11249
33087,11231
33088,11226
33089,11101
33090,10025
33091,10018
33092,10027
33093,11691
33094,11434
33095,11418
33096,10464
33097,11221
33098,11216
33099,11369
33100,11221
33101,10001
33102,10019
33103,10009
33104,11222
33105,11222
33106,10031
33107,10115
33108,10021
33109,11233
33110,11225
33111,11379
33112,11216
33113,11369
33114,10009
33115,10016
