,0
46000,10022
46001,10001
46002,10019
46003,10003
46004,10022
46005,11201
46006,10018
46007,11206
46008,11105
46009,10019
46010,10001
46011,10001
46012,10018
46013,10002
46014,10031
46015,10035
46016,10019
46017,11232
46018,10019
46019,10451
46020,10019
46021,10038
46022,10003
46023,10019
46024,10019
46025,10458
46026,10019
46027,10019
46028,10031
46029,11221
46030,11249
46031,11221
46032,10016
46033,10032
46034,10022
46035,11106
46036,10016
46037,10022
46038,10022
46039,10001
46040,11373
46041,10022
46042,11356
46043,11206
46044,10018
46045,10029
46046,10022
46047,11106
46048,11221
46049,10025
46050,10303
46051,11354
46052,11413
46053,11216
46054,10016
46055,10038
46056,11233
46057,11415
46058,10031
46059,11226
46060,10036
46061,11432
46062,10465
46063,11369
46064,10025
46065,11369
46066,11369
46067,11236
46068,11221
46069,10003
46070,11213
46071,11213
46072,11233
46073,10466
46074,10035
46075,10004
46076,10065
46077,10013
46078,11211
46079,11238
46080,10037
46081,10019
46082,10040
46083,10014
46084,11201
46085,11418
46086,11201
46087,11233
46088,11103
46089,11692
46090,11221
46091,10019
46092,10304
46093,10453
46094,10019
46095,10019
46096,10012
46097,10016
46098,11233
46099,11249
46100,10035
46101,10002
46102,10016
46103,10014
46104,11421
46105,10002
46106,11207
46107,11211
46108,10012
46109,10019
46110,10019
46111,11231
46112,11211
46113,11385
46114,11434
46115,11222
46116,11355
46117,11201
46118,10039
46119,10028
46120,11213
46121,11249
46122,11209
46123,11104
46124,11369
46125,11369
46126,10457
46127,11355
46128,10036
46129,10019
46130,11216
46131,10029
46132,11210
46133,11221
46134,11221
46135,11385
46136,10009
46137,10016
46138,10036
46139,10036
46140,11201
46141,10005
46142,10023
46143,10011
46144,11237
46145,10026
46146,10065
46147,11374
46148,11206
46149,10018
46150,10024
46151,10034
46152,11423
46153,11206
46154,11106
46155,10033
46156,10031
46157,11211
46158,11225
46159,10019
46160,11225
46161,10199
46162,10014
46163,10002
46164,10036
46165,10019
46166,11220
46167,11215
46168,10022
46169,11205
46170,11433
46171,10023
46172,11238
46173,11222
46174,11221
46175,11231
46176,11222
46177,11377
46178,10022
46179,10471
46180,10017
46181,10024
46182,10036
46183,10011
46184,11414
46185,11414
46186,11105
46187,12692
46188,10002
46189,11221
46190,11368
46191,11368
46192,10031
46193,10038
46194,11201
46195,11368
46196,11211
46197,10003
46198,10028
46199,11237
46200,11411
46201,10019
46202,10035
46203,11355
46204,10003
46205,10019
46206,10036
46207,10036
46208,10019
46209,10019
46210,10019
46211,11249
46212,10014
46213,10001
46214,10038
46215,10038
46216,10019
46217,10002
46218,11221
46219,10075
46220,11221
46221,11238
46222,10027
46223,11221
46224,10024
46225,11206
46226,10028
46227,11355
46228,11207
46229,11210
46230,11374
46231,11226
46232,10029
46233,11218
46234,10011
46235,10009
46236,11412
46237,11211
46238,11216
46239,11216
46240,11218
46241,11105
46242,10019
46243,10009
46244,10031
46245,10012
46246,10305
46247,10009
46248,10027
46249,10119
46250,10456
46251,10031
46252,10007
46253,11414
46254,11206
46255,10001
46256,10022
46257,11216
46258,10010
46259,10035
46260,11369
46261,10019
46262,11101
46263,11580
46264,10016
46265,10454
46266,10456
