,0
22000,10006
22001,11215
22002,11101
22003,11101
22004,11216
22005,11211
22006,10019
22007,10028
22008,10021
22009,10028
22010,10028
22011,11434
22012,11221
22013,11201
22014,11233
22015,10040
22016,11213
22017,10009
22018,10065
22019,11213
22020,11226
22021,11201
22022,11225
22023,10021
22024,10305
22025,11201
22026,11355
22027,11221
22028,11214
22029,11221
22030,11221
22031,10009
22032,10025
22033,10012
22034,11237
22035,11221
22036,11238
22037,10469
22038,11221
22039,11238
22040,11106
22041,10452
22042,11228
22043,10036
22044,10310
22045,10310
22046,10023
22047,11206
22048,11211
22049,11364
22050,11422
22051,11235
22052,10128
22053,10027
22054,11209
22055,10027
22056,11103
22057,11377
22058,10034
22059,11249
22060,11206
22061,10034
22062,11369
22063,11209
22064,11238
22065,10001
22066,11206
22067,11237
22068,11369
22069,10105
22070,10003
22071,11205
22072,10002
22073,10027
22074,11206
22075,11211
22076,10011
22077,10029
22078,11238
22079,10029
22080,10019
22081,11211
22082,10301
22083,10024
22084,11364
22085,11364
22086,11222
22087,11358
22088,10002
22089,11207
22090,10304
22091,10029
22092,10035
22093,11385
22094,11213
22095,10032
22096,10035
22097,11237
22098,11237
22099,10035
22100,11413
22101,11693
22102,11249
22103,11221
22104,11413
22105,10025
22106,11224
22107,11434
22108,10019
22109,11216
22110,11234
22111,10012
22112,11237
22113,11101
22114,11201
22115,11206
22116,11102
22117,11221
22118,11238
22119,10009
22120,10027
22121,11372
22122,10075
22123,11237
22124,11236
22125,10028
22126,10009
22127,11377
22128,11216
22129,10029
22130,10004
22131,10014
22132,10035
22133,11216
22134,10016
22135,10128
22136,11102
22137,11215
22138,10065
22139,11225
22140,10016
22141,10009
22142,11205
22143,11222
22144,11221
22145,10003
22146,11207
22147,11211
22148,11216
22149,11226
22150,11224
22151,10037
22152,11215
22153,11216
22154,10027
22155,10033
22156,10011
22157,11211
22158,10463
22159,11216
22160,11221
22161,10023
22162,10003
22163,11201
22164,10019
22165,11215
22166,10022
22167,10019
22168,10115
22169,10039
