,0
44000,11208
44001,10005
44002,10003
44003,10005
44004,10006
44005,10005
44006,11238
44007,10004
44008,10023
44009,10009
44010,11102
44011,10009
44012,11221
44013,11222
44014,10016
44015,10032
44016,10002
44017,10016
44018,10458
44019,11211
44020,10002
44021,10025
44022,10462
44023,10009
44024,11105
44025,11206
44026,10034
44027,10003
44028,10001
44029,11421
44030,10003
44031,10003
44032,10011
44033,10005
44034,10001
44035,11215
44036,11106
44037,11106
44038,11230
44039,11361
44040,10035
44041,10016
44042,10010
44043,10010
44044,11417
44045,11237
44046,10002
44047,11222
44048,10030
44049,11213
44050,11211
44051,11103
44052,11003
44053,10024
44054,11222
44055,11206
44056,10468
44057,10031
44058,10018
44059,10003
44060,10006
44061,11223
44062,10016
44063,11223
44064,11211
44065,10011
44066,11225
44067,10009
44068,11238
44069,11201
44070,10010
44071,11225
44072,11225
44073,11207
44074,10002
44075,10032
44076,10002
44077,11203
44078,11212
44079,11223
44080,11218
44081,10028
44082,10002
44083,10012
44084,10018
44085,10018
44086,11106
44087,11249
44088,11208
44089,10009
44090,10028
44091,11235
44092,11211
44093,11385
44094,10001
44095,10009
44096,10026
44097,11215
44098,11211
44099,10019
44100,10023
44101,10128
44102,10027
44103,11216
44104,11415
44105,11209
44106,10036
44107,10016
44108,10026
44109,10026
44110,11415
44111,11418
44112,10033
44113,10001
44114,10026
44115,11226
44116,10032
44117,10451
44118,11238
44119,11418
44120,11233
44121,11223
44122,11222
44123,10029
44124,11221
44125,10035
44126,10017
44127,11692
44128,11249
44129,11226
44130,10032
44131,10024
44132,11238
44133,10038
44134,11385
44135,10006
44136,10462
44137,11235
44138,10019
44139,10002
44140,10009
44141,11385
44142,11377
44143,11206
44144,10032
44145,11221
44146,11216
44147,11385
44148,11231
44149,11385
44150,11385
44151,11249
44152,11220
44153,11220
44154,11206
44155,10009
44156,10019
44157,11693
44158,11211
44159,10019
44160,11225
44161,11385
44162,10018
44163,10013
44164,10025
44165,10010
44166,11203
44167,10016
44168,11203
44169,11215
44170,11203
44171,11203
44172,10037
44173,11211
44174,10004
44175,10005
44176,10003
44177,11434
44178,10004
44179,10038
44180,10038
44181,11419
44182,11226
44183,10009
44184,
44185,11203
44186,10022
44187,11221
44188,10019
44189,11235
44190,11102
44191,10018
44192,10025
44193,11109
44194,10018
44195,10122
44196,10018
44197,10122
44198,10018
44199,10001
44200,11205
44201,10030
44202,11221
44203,11226
44204,11225
44205,10019
44206,11372
44207,11101
44208,10002
44209,10025
44210,10032
44211,11372
44212,10003
44213,10006
44214,10036
44215,10128
44216,10038
44217,11220
44218,11222
44219,10021
44220,10029
44221,10004
44222,10004
44223,10005
44224,10003
44225,11228
44226,11234
44227,10014
44228,11385
44229,10003
44230,10005
44231,11206
44232,11207
44233,10075
44234,11216
44235,10028
44236,11434
44237,11215
44238,11225
44239,10002
44240,10021
44241,10019
44242,10035
44243,11377
44244,11209
44245,10019
44246,10003
44247,10019
44248,11207
44249,11377
44250,11206
44251,11377
44252,10025
44253,11355
44254,11211
44255,10013
44256,10011
44257,10005
44258,10005
44259,11207
44260,10016
44261,10452
44262,11211
44263,11211
