,0
34000,11412
34001,11237
34002,11237
34003,11206
34004,11206
34005,10022
34006,10001
34007,11435
34008,11208
34009,10003
34010,10019
34011,10039
34012,10013
34013,11206
34014,10019
34015,10016
34016,11215
34017,11249
34018,10011
34019,11365
34020,10027
34021,10199
34022,11226
34023,10025
34024,10011
34025,11385
34026,11372
34027,10013
34028,10009
34029,11217
34030,11215
34031,10002
34032,11237
34033,10456
34034,11211
34035,11411
34036,11220
34037,11217
34038,11368
34039,10036
34040,10019
34041,11221
34042,11217
34043,11233
34044,11217
34045,11385
34046,11232
34047,11367
34048,10019
34049,11101
34050,11206
34051,10011
34052,11206
34053,11211
34054,11221
34055,11249
34056,10031
34057,11237
34058,11220
34059,11385
34060,11222
34061,11216
34062,11385
34063,11238
34064,11434
34065,11215
34066,11211
34067,11211
34068,11211
34069,11221
34070,11221
34071,11373
34072,10031
34073,11203
34074,10451
34075,11237
34076,11218
34077,11206
34078,11206
34079,10025
34080,10019
34081,10019
34082,10019
34083,10040
34084,11221
34085,10002
34086,10034
34087,11216
34088,10019
34089,10019
34090,11211
34091,10000
34092,10461
34093,10027
34094,11220
34095,10036
34096,10029
34097,11233
34098,10012
34099,11233
34100,11211
34101,11211
34102,11215
34103,11211
34104,10009
34105,10024
34106,10025
34107,10012
34108,11212
34109,10025
34110,11211
34111,11213
34112,11212
34113,11234
34114,10025
34115,10037
34116,10040
34117,10003
34118,11238
34119,11216
34120,11221
34121,10128
34122,10028
34123,11215
34124,11238
34125,11215
34126,10028
34127,11233
34128,10012
34129,11225
34130,11211
34131,10010
34132,11225
34133,11377
34134,10024
34135,11372
34136,11249
34137,10011
34138,11231
34139,10003
34140,11216
34141,10003
34142,10009
34143,10003
34144,10014
34145,11232
34146,11216
34147,10002
34148,11221
34149,10035
34150,11221
34151,11206
34152,11206
34153,10310
34154,10025
34155,10025
34156,10011
34157,11238
34158,10466
34159,10309
34160,11222
34161,10314
34162,10030
34163,10035
34164,10011
34165,10017
34166,10037
34167,10023
34168,11434
34169,11224
34170,11220
34171,10011
34172,10005
34173,10014
34174,11233
34175,10009
34176,10011
34177,10036
34178,11221
34179,10009
34180,10032
34181,11249
34182,10016
34183,11221
34184,10021
34185,10036
34186,11373
34187,10011
34188,10028
34189,11377
34190,11211
34191,11226
34192,11201
34193,10009
34194,11365
34195,11235
34196,10024
34197,11226
34198,10034
34199,11236
34200,10025
34201,11233
34202,11237
34203,10036
34204,10035
34205,10002
34206,11226
34207,11211
34208,11205
34209,10456
34210,11237
34211,11377
34212,11216
34213,11201
34214,10010
34215,11226
34216,10030
34217,11238
34218,11238
34219,10019
34220,11104
34221,10001
34222,11105
34223,11218
34224,10035
34225,11226
34226,11226
34227,11234
34228,11373
34229,11201
34230,10031
34231,10017
34232,10021
34233,10017
34234,11216
34235,11233
34236,11105
34237,11205
34238,10019
34239,11221
34240,10031
34241,10001
34242,11221
34243,11233
34244,11205
34245,10003
34246,11226
34247,11205
34248,10026
34249,11249
34250,11225
34251,10014
34252,11226
34253,10005
34254,10011
34255,11211
34256,11211
34257,10035
34258,10128
34259,11225
34260,10016
34261,10011
34262,11238
34263,10003
34264,10014
34265,11370
34266,10128
34267,10301
34268,11207
34269,10025
34270,11237
34271,11237
34272,10036
34273,11355
34274,11385
34275,11104
34276,10024
34277,10012
34278,10011
34279,11216
34280,11221
34281,11217
34282,10128
34283,11221
34284,11229
34285,11221
34286,11214
34287,10456
34288,11207
34289,10301
34290,11207
34291,11221
34292,10033
34293,11237
34294,11204
34295,11220
34296,10014
34297,10022
34298,10019
34299,10036
34300,10036
34301,10028
34302,11211
34303,10155
34304,10028
34305,10010
34306,10036
34307,11225
34308,10018
34309,11206
34310,10038
34311,10031
34312,10029
34313,11216
34314,10115
34315,11693
34316,11373
34317,10075
34318,10035
34319,11216
34320,10466
34321,10040
34322,11216
34323,11216
34324,10016
34325,10128
34326,11249
34327,10075
34328,11211
34329,10031
34330,10301
34331,11233
34332,10017
34333,10022
34334,10158
34335,10022
34336,10022
34337,10022
34338,10022
34339,10022
34340,10017
34341,10022
34342,10017
34343,10022
34344,10022
34345,10022
34346,10022
34347,10017
34348,10017
34349,10017
34350,10158
34351,10017
34352,10022
34353,10017
34354,11370
34355,11213
34356,11206
34357,11206
34358,11370
34359,10014
34360,11221
34361,10009
34362,11370
34363,11411
34364,11208
34365,10022
34366,10022
34367,10016
34368,11385
34369,10016
34370,11230
34371,10199
34372,10036
34373,11237
34374,11237
34375,11206
34376,11206
34377,11221
34378,10034
34379,11206
34380,10022
34381,10454
34382,10027
34383,11237
34384,11385
34385,11355
34386,10022
34387,10009
34388,10155
34389,11216
34390,10001
34391,11237
34392,10036
34393,10036
34394,10036
34395,10019
34396,10036
34397,10016
34398,11216
34399,11211
34400,11249
34401,11249
34402,11216
34403,10014
34404,11385
34405,11385
34406,11385
34407,11237
34408,11385
34409,11385
34410,11385
34411,11421
34412,10029
34413,10003
34414,10009
34415,10021
34416,11221
34417,10012
34418,10019
34419,11231
34420,10466
34421,11231
34422,10035
34423,11220
34424,10016
34425,10001
34426,10028
34427,10021
34428,10028
34429,11694
34430,11421
34431,10013
34432,11238
34433,10019
34434,11354
34435,10031
34436,11216
34437,11216
34438,11215
34439,10014
34440,11355
34441,11237
34442,10009
34443,11212
34444,11355
34445,10039
34446,10452
34447,11238
34448,10039
34449,11207
34450,11377
34451,11221
34452,11216
34453,10034
34454,10014
34455,10001
34456,11421
34457,11372
34458,10455
34459,11237
34460,11365
34461,11221
34462,10021
34463,11236
34464,11226
34465,11216
34466,11206
34467,10035
34468,11226
34469,11249
34470,10469
34471,11215
34472,10009
34473,10021
34474,10028
34475,11211
34476,11221
34477,10012
34478,11233
34479,10010
34480,11208
34481,11208
34482,10030
34483,11205
34484,11355
34485,11416
34486,11237
34487,11206
34488,11213
34489,11355
34490,10012
34491,11217
34492,11235
34493,11211
34494,11211
34495,10030
34496,10301
34497,10009
34498,11249
34499,10458
34500,11203
34501,11215
34502,11249
34503,10038
34504,10011
34505,10001
34506,10011
34507,10001
34508,10011
34509,10001
34510,10011
34511,10016
34512,10016
34513,11368
