,0
8000,10036
8001,11369
8002,11211
8003,10021
8004,10002
8005,11225
8006,11221
8007,10023
8008,10011
8009,11221
8010,10027
8011,11215
8012,11205
8013,11385
8014,10031
8015,10003
8016,11238
8017,11225
8018,11235
8019,10016
8020,10451
8021,10002
8022,10019
8023,10310
8024,11216
8025,11206
8026,11221
8027,11249
8028,11211
8029,10032
8030,11237
8031,10025
8032,10002
8033,10023
8034,11222
8035,11211
8036,11249
8037,11105
8038,11206
8039,10040
8040,11213
8041,11215
8042,10002
8043,11211
8044,
8045,10025
8046,10115
8047,10032
8048,10027
8049,10033
8050,10128
8051,11211
8052,10029
8053,10026
8054,10010
8055,11238
8056,11221
8057,11206
8058,11211
8059,10009
8060,11238
8061,11209
8062,10012
8063,11101
8064,11211
8065,10002
8066,10025
8067,10031
8068,11249
8069,10022
8070,10021
8071,10024
8072,11216
8073,11203
8074,11238
8075,11209
8076,10016
8077,11249
8078,10028
8079,10035
8080,11102
8081,10024
8082,11235
8083,11238
8084,11233
8085,10019
8086,11208
8087,11226
8088,11249
8089,11216
8090,11215
8091,10457
8092,11238
8093,10026
8094,11233
8095,11221
8096,11221
8097,10009
8098,11211
8099,10040
8100,11222
8101,10065
8102,10459
8103,10033
8104,10128
8105,10025
8106,11216
8107,11215
8108,11211
8109,10031
8110,11238
8111,10457
8112,11221
8113,11238
8114,11238
8115,10009
8116,11238
8117,10023
8118,11206
8119,11207
8120,10025
8121,10034
8122,10011
8123,10019
8124,11375
8125,10029
8126,10002
8127,11211
8128,10018
8129,11216
8130,11211
8131,10018
8132,10019
8133,11355
8134,11218
8135,10128
8136,11355
8137,10013
8138,11211
8139,11238
8140,10014
8141,10029
8142,11211
8143,10128
8144,11221
8145,10024
8146,10023
8147,11231
8148,10033
8149,10029
8150,11237
8151,11221
8152,11238
8153,10003
8154,10002
8155,11235
8156,11217
8157,11209
8158,11211
8159,11206
8160,11230
8161,10028
8162,11211
8163,11203
8164,10009
8165,11215
8166,11221
8167,11222
8168,10023
8169,10012
8170,11206
8171,10014
8172,11221
8173,10033
8174,11201
8175,11222
8176,11216
8177,11216
8178,11211
8179,11205
8180,11211
8181,11217
8182,11218
8183,11206
8184,11222
8185,10002
8186,10016
8187,10012
8188,10031
8189,11205
8190,11210
8191,11233
8192,11233
8193,11215
8194,11225
8195,11234
8196,11106
8197,10021
8198,10036
8199,11221
8200,11221
8201,11238
8202,10003
8203,10011
8204,10032
8205,10003
8206,11231
8207,10034
8208,11221
8209,10014
8210,10025
8211,10027
8212,10027
8213,10036
8214,10301
8215,11221
8216,11225
8217,11213
8218,10012
8219,11233
8220,11217
8221,11235
8222,10009
8223,10003
8224,11367
8225,11233
8226,11211
8227,10027
8228,10021
8229,10007
8230,11225
8231,11225
8232,11217
8233,11218
8234,11222
8235,11238
8236,10003
8237,10012
8238,10003
8239,10011
8240,10016
8241,10010
8242,10025
8243,11230
8244,10027
8245,10009
8246,10003
8247,11234
8248,11233
8249,11215
8250,10009
8251,11206
8252,10027
8253,10024
8254,11238
8255,10016
8256,10027
8257,11206
8258,11385
8259,11233
8260,11109
8261,10024
8262,11221
8263,11249
8264,10045
8265,10033
8266,10025
8267,10025
8268,10009
8269,10014
8270,10031
8271,10019
8272,11207
8273,10029
8274,10019
8275,10032
8276,10024
8277,10019
8278,10024
8279,10002
8280,10013
8281,10022
8282,11217
8283,10002
8284,10025
8285,10024
8286,11217
8287,10009
8288,10463
8289,11103
8290,10010
8291,10003
8292,10011
8293,11238
8294,11207
8295,11104
8296,11237
8297,10028
8298,11238
8299,10003
8300,11225
8301,11225
8302,11216
8303,10002
8304,11222
8305,10032
8306,11237
8307,10023
8308,10014
8309,10002
8310,11222
8311,11201
8312,11216
8313,11101
8314,11213
8315,10031
8316,10456
8317,10014
8318,10002
8319,11206
8320,11105
8321,10009
8322,11375
8323,11211
8324,11206
8325,10023
8326,10032
8327,11217
8328,11211
8329,11213
8330,11211
8331,11102
8332,10011
8333,10026
8334,11206
8335,11206
8336,11238
8337,11211
8338,10002
8339,10016
8340,11213
8341,10002
8342,11225
8343,10032
8344,11206
8345,11221
8346,11216
8347,10002
8348,10475
8349,11206
8350,11355
8351,10128
8352,11206
8353,10023
8354,11237
8355,10024
8356,11201
8357,11216
8358,10033
8359,10019
8360,10024
8361,11206
8362,10019
8363,10035
8364,10012
8365,11231
8366,10006
8367,11231
8368,10025
8369,11238
8370,11375
8371,10128
8372,11215
8373,11235
8374,11207
8375,10065
8376,11231
8377,11221
8378,10014
8379,10065
8380,11211
8381,11206
8382,11211
8383,11221
8384,10009
8385,10002
8386,10012
8387,11102
8388,10029
8389,11236
8390,11238
8391,11211
8392,11211
8393,10016
8394,11215
8395,10016
8396,11211
8397,10022
8398,10035
8399,10026
8400,10009
8401,11225
8402,11211
8403,10016
8404,11230
8405,11205
8406,11211
8407,11211
8408,11225
8409,10003
8410,11221
8411,11223
8412,11104
8413,10032
8414,11217
8415,11221
8416,10028
8417,10032
8418,11238
8419,11217
8420,11226
8421,11231
8422,10002
8423,11211
8424,10031
8425,10005
8426,10031
8427,11105
8428,10013
8429,11213
8430,10022
8431,10035
8432,10038
8433,11102
8434,10018
8435,10034
8436,11373
8437,10011
8438,10012
8439,10011
8440,11215
8441,11222
8442,11105
8443,11232
8444,10019
8445,10012
8446,11201
8447,11222
8448,11211
8449,11235
8450,10024
8451,11233
8452,11238
8453,10002
8454,10021
8455,10019
8456,10016
8457,11373
8458,10021
8459,10026
8460,11216
8461,11249
8462,10009
8463,10014
8464,10026
8465,11237
8466,10032
8467,11221
8468,10025
8469,10035
8470,11225
8471,10024
8472,11226
8473,11215
8474,10028
8475,10003
8476,11211
8477,10027
8478,11692
8479,11692
8480,11223
8481,11370
8482,11215
8483,11101
8484,10009
8485,11368
8486,10031
8487,10010
8488,10027
8489,11102
8490,10018
8491,11237
8492,11225
8493,11216
8494,11211
8495,11249
8496,11221
8497,11216
8498,10025
8499,11211
8500,10019
8501,10009
8502,10011
8503,10011
8504,10039
8505,11215
8506,10014
8507,11221
8508,10003
8509,10031
8510,10037
8511,10301
8512,11101
8513,10014
8514,11216
8515,10021
8516,11385
8517,11105
8518,11231
8519,10002
8520,11217
8521,10456
8522,10001
8523,11206
8524,11206
8525,11209
8526,10075
8527,11237
8528,10040
8529,10023
8530,10025
8531,11221
8532,11206
8533,10033
8534,11216
8535,10280
8536,11216
8537,10031
8538,11101
8539,11211
8540,11216
8541,10003
8542,11211
8543,11233
8544,10009
8545,11208
8546,11106
8547,11249
8548,10012
8549,10031
8550,11416
8551,10025
8552,10019
8553,11215
8554,10034
8555,11692
8556,10025
8557,10002
8558,11225
8559,11215
8560,11211
8561,10011
8562,10027
8563,11215
8564,11370
8565,10014
8566,11378
8567,10031
8568,10025
8569,11211
8570,11249
8571,10039
8572,10033
8573,10014
8574,11249
8575,11211
8576,11215
8577,10002
8578,11237
8579,11221
8580,10030
8581,11230
8582,11215
8583,11221
8584,11217
8585,10029
8586,10040
8587,11225
8588,10040
8589,11215
8590,11207
8591,11105
8592,11207
8593,11217
8594,10036
8595,10010
8596,10002
8597,11104
8598,11215
8599,11231
8600,10002
8601,10032
8602,10011
8603,10029
8604,11226
8605,10027
8606,11233
8607,11221
8608,10003
8609,11238
8610,11249
8611,10003
8612,10023
8613,11211
8614,11215
8615,11106
8616,10035
8617,10026
8618,11226
8619,11205
8620,11249
8621,10024
8622,11206
8623,11238
8624,10275
8625,10002
8626,11106
8627,10014
8628,10027
8629,11225
8630,11211
8631,10019
8632,11418
8633,11221
8634,10032
8635,11209
8636,10002
8637,10065
8638,10012
8639,11206
8640,10023
8641,10011
8642,11249
8643,10029
8644,11211
8645,11221
8646,10014
8647,10014
8648,11215
8649,11201
8650,11210
8651,10025
8652,11205
8653,10029
8654,11225
8655,10016
8656,11236
8657,11217
8658,11215
8659,11238
8660,11238
8661,10031
8662,10128
8663,11205
8664,11206
8665,11206
8666,11237
8667,11211
8668,10009
8669,10011
8670,10029
8671,10003
8672,11415
8673,11221
8674,10036
8675,10026
8676,10011
8677,11217
8678,10031
8679,11238
8680,10026
8681,11211
8682,11221
8683,10009
8684,10009
8685,11238
8686,10002
8687,11223
8688,10021
8689,10036
8690,10011
8691,10029
8692,11206
8693,11238
