,0
36000,11205
36001,10016
36002,10456
36003,10016
36004,11205
36005,11205
36006,10024
36007,11385
36008,10305
36009,11221
36010,11233
36011,11103
36012,10031
36013,10472
36014,11232
36015,11232
36016,10009
36017,10013
36018,11372
36019,10039
36020,11205
36021,11212
36022,11206
36023,11101
36024,10019
36025,11102
36026,10009
36027,11233
36028,11211
36029,10016
36030,11102
36031,11221
36032,11237
36033,11412
36034,11221
36035,10019
36036,10011
36037,11205
36038,10019
36039,10027
36040,10027
36041,11222
36042,10281
36043,11249
36044,11105
36045,11373
36046,10466
36047,10032
36048,11249
36049,10001
36050,11249
36051,11225
36052,11102
36053,11203
36054,10028
36055,11216
36056,11211
36057,11429
36058,10025
36059,11216
36060,10023
36061,11237
36062,11368
36063,11237
36064,11237
36065,11237
36066,11237
36067,11237
36068,11221
36069,11237
36070,11237
36071,11237
36072,11237
36073,10035
36074,11211
36075,11221
36076,10199
36077,11207
36078,11211
36079,11236
36080,11203
36081,11226
36082,10016
36083,11203
36084,11220
36085,10001
36086,11203
36087,10304
36088,11237
36089,11226
36090,10029
36091,11234
36092,11206
36093,11221
36094,10007
36095,10002
36096,10024
36097,11102
36098,11233
36099,10028
36100,11355
36101,11233
36102,11105
36103,10466
36104,11423
36105,11210
36106,10025
36107,11222
36108,11101
36109,10035
36110,10040
36111,11203
36112,11203
36113,11203
36114,11220
36115,10019
36116,10014
36117,11221
36118,10030
36119,10009
36120,11235
36121,10035
36122,11373
36123,10013
36124,10119
36125,11216
36126,11432
36127,11216
36128,10003
36129,10035
36130,11210
36131,11219
36132,11229
36133,11208
36134,11215
36135,10035
36136,10014
36137,11218
36138,11238
36139,11209
36140,11226
36141,10013
36142,10029
36143,11222
36144,11216
36145,10011
36146,11211
36147,11221
36148,10019
36149,10005
36150,10032
36151,11211
36152,10027
36153,10019
36154,10029
36155,10013
36156,11219
36157,10035
36158,11692
36159,10031
36160,11219
36161,11219
36162,10022
36163,11237
36164,11220
36165,11103
36166,10019
36167,11220
36168,10011
36169,10001
36170,10038
36171,11226
36172,10033
36173,11106
36174,10115
36175,10035
36176,10005
36177,11235
36178,11209
36179,10027
36180,11377
36181,10456
36182,11206
36183,10019
36184,11237
36185,10013
36186,11233
36187,10016
36188,11206
36189,11101
36190,11385
36191,11216
36192,10035
36193,11211
36194,11211
36195,10013
36196,11221
36197,10001
36198,11203
36199,11205
36200,11226
36201,11226
36202,11370
36203,11368
36204,11203
36205,10038
36206,10017
36207,11203
36208,11203
36209,11206
36210,11233
36211,11221
36212,10009
36213,10003
36214,11232
36215,11216
36216,10014
36217,11206
36218,10027
36219,11232
36220,10036
