,0
30000,10003
30001,10027
30002,10467
30003,10467
30004,11222
30005,10467
30006,10029
30007,11421
30008,10470
30009,11369
30010,10012
30011,10035
30012,11205
30013,10031
30014,11205
30015,11385
30016,10025
30017,10011
30018,11377
30019,11211
30020,10025
30021,10033
30022,11205
30023,11213
30024,10003
30025,10010
30026,10002
30027,10459
30028,11215
30029,10037
30030,10457
30031,10029
30032,11214
30033,11238
30034,11238
30035,10457
30036,11102
30037,11205
30038,10018
30039,10012
30040,10012
30041,11237
30042,11218
30043,10021
30044,11421
30045,11215
30046,11103
30047,11225
30048,11226
30049,11412
30050,11232
30051,10011
30052,10010
30053,10199
30054,11211
30055,10467
30056,11226
30057,10032
30058,11207
30059,10025
30060,11249
30061,11222
30062,10302
30063,10199
30064,11230
30065,10028
30066,10002
30067,11372
30068,11217
30069,11421
30070,11211
30071,11375
30072,11369
30073,10453
30074,11221
30075,10075
30076,10001
30077,11216
30078,10025
30079,11354
30080,11101
30081,10016
30082,11378
30083,10016
30084,10013
30085,11377
30086,11226
30087,11226
30088,11233
30089,10002
30090,11205
30091,11217
30092,10033
30093,10033
30094,10032
30095,10031
30096,10075
30097,11216
30098,10025
30099,10001
30100,10031
30101,10012
30102,11237
30103,10023
30104,11221
30105,11385
30106,11377
30107,10025
30108,11238
30109,11216
30110,11222
30111,11211
30112,11213
30113,11222
30114,11222
30115,10305
30116,11211
30117,11432
30118,11220
30119,10035
30120,11207
30121,10037
30122,11201
30123,11218
30124,11373
30125,10032
30126,10028
30127,11221
30128,11203
30129,10028
30130,11201
30131,10456
30132,11206
30133,11216
30134,11354
30135,11206
30136,10304
30137,11233
30138,11232
30139,10009
30140,11237
30141,11105
30142,11211
30143,10011
30144,10017
30145,11231
30146,11385
30147,10452
30148,11238
30149,10002
30150,11206
30151,11217
30152,11207
30153,11225
30154,10007
30155,10011
30156,11232
30157,10025
30158,10016
30159,11354
30160,10035
30161,11205
30162,11222
30163,10002
30164,11211
30165,11201
30166,10013
30167,11228
30168,10029
30169,11378
30170,11211
30171,11374
30172,10065
30173,11220
30174,11216
30175,10458
30176,11215
30177,11226
30178,10019
30179,11214
30180,10039
30181,11249
30182,11372
30183,11211
30184,11206
30185,11221
30186,10002
30187,11207
30188,10019
30189,11249
30190,10033
30191,10303
30192,11228
30193,10024
30194,11233
30195,11377
30196,10031
30197,10036
30198,10012
30199,10029
30200,10035
30201,10453
30202,11215
30203,10301
30204,11421
30205,11103
30206,11249
30207,10022
30208,10027
30209,10023
30210,11205
30211,10031
30212,11372
30213,11104
30214,11106
30215,10032
30216,10022
30217,10013
30218,10026
30219,10019
30220,11101
30221,11215
30222,11207
30223,11377
30224,10002
30225,11249
30226,10305
30227,11206
30228,11206
30229,11221
30230,11207
30231,10026
30232,11104
30233,11377
30234,10011
30235,11207
30236,10033
30237,11223
30238,11218
30239,11213
30240,11211
30241,11237
30242,10029
30243,10022
30244,11373
30245,10003
30246,10014
30247,11205
30248,11225
30249,11207
30250,11233
30251,10003
30252,10035
30253,11370
30254,11221
30255,11417
30256,10030
30257,11249
30258,10032
30259,11249
30260,11249
30261,11211
30262,10119
30263,11222
30264,10002
30265,11233
30266,11238
30267,10009
30268,10005
30269,11224
30270,11232
30271,11104
30272,10032
30273,11230
30274,10032
30275,11222
30276,11234
30277,10025
30278,11226
30279,11375
30280,10002
30281,11237
30282,11215
30283,10002
30284,10031
30285,10027
30286,10014
30287,11205
30288,11206
30289,11221
30290,11208
30291,11222
30292,10003
30293,10002
30294,11206
30295,10002
30296,11233
30297,11221
30298,10010
30299,10027
30300,10012
30301,10011
30302,10032
30303,11238
30304,10031
30305,10024
30306,11207
30307,11233
30308,11101
30309,10065
30310,11213
30311,11355
30312,10310
30313,11103
30314,11233
30315,11206
30316,11235
30317,11221
30318,11226
30319,11215
30320,11369
30321,10018
30322,10002
30323,10065
30324,11106
30325,11206
30326,11385
30327,11385
30328,11216
30329,10013
30330,10016
30331,11103
30332,11201
30333,11205
30334,10155
30335,11211
30336,11233
30337,10128
30338,10036
30339,10033
30340,10032
30341,11217
30342,10002
30343,11354
30344,11434
30345,10025
30346,11221
30347,11215
30348,10027
30349,11233
30350,10011
30351,11233
30352,11233
30353,10306
30354,11211
30355,11216
30356,10037
30357,11206
30358,11355
30359,11238
30360,10019
30361,10011
30362,10461
30363,10002
30364,10069
30365,10019
30366,11221
30367,11106
30368,10016
30369,11225
30370,11221
30371,11211
30372,11370
30373,11237
30374,11368
30375,11368
30376,11368
30377,11368
30378,11368
30379,11427
30380,11207
30381,10004
30382,10065
30383,11101
30384,11385
30385,11211
30386,11235
30387,10034
30388,11373
30389,11101
30390,11207
30391,11416
30392,10001
30393,10021
30394,11237
30395,10032
30396,10009
30397,11211
30398,11232
30399,11385
30400,11238
30401,10002
30402,10019
30403,11211
30404,10452
30405,10011
30406,10452
30407,10028
30408,11222
30409,11104
30410,11249
30411,11375
30412,10027
30413,11231
30414,11211
30415,11201
30416,11207
30417,11226
30418,10002
30419,10009
30420,11377
30421,10018
30422,11233
30423,11216
30424,11205
30425,11205
30426,10128
30427,10065
30428,10016
30429,10019
30430,10019
30431,11218
30432,11238
30433,11238
30434,11208
30435,11216
30436,10012
30437,10010
30438,10467
30439,11236
30440,11209
30441,10011
30442,10010
30443,10128
30444,11211
30445,11237
30446,11206
30447,10001
30448,10001
30449,11236
30450,10003
30451,11215
30452,11373
30453,11217
30454,11355
30455,10025
30456,10027
30457,11373
30458,11207
30459,11218
30460,11211
30461,11413
30462,10034
30463,10003
30464,10003
30465,11206
30466,10032
30467,11385
30468,10011
30469,11231
30470,11209
30471,11206
30472,10021
30473,11103
30474,11377
30475,11206
30476,11106
30477,10031
30478,11208
30479,10044
30480,11233
30481,11226
30482,10013
30483,11217
30484,10021
30485,11249
30486,10025
30487,11225
30488,10469
30489,10306
30490,10031
30491,11106
30492,10044
30493,11206
30494,10115
30495,11211
30496,10002
30497,10014
30498,11233
30499,11206
30500,11217
30501,10038
30502,11231
30503,10035
30504,10032
30505,11207
30506,10003
30507,11237
30508,11238
30509,10002
30510,11205
30511,11106
30512,10468
30513,10031
30514,10004
30515,11207
30516,11207
30517,10452
30518,10016
30519,11375
30520,11238
30521,11221
30522,11237
30523,11207
30524,10280
30525,11434
30526,10027
30527,10003
30528,10029
30529,10001
30530,10025
30531,10025
30532,11211
30533,10017
30534,10012
30535,10003
30536,11221
30537,11217
30538,11221
30539,10002
30540,11226
30541,11368
30542,10119
30543,11206
30544,11231
30545,11213
30546,11216
30547,11225
30548,10040
30549,11233
30550,10023
30551,11225
30552,11368
30553,10014
30554,11105
30555,11221
30556,10023
30557,10128
30558,10017
30559,10037
30560,11238
30561,11221
30562,10002
30563,11361
30564,11221
30565,11211
30566,11225
